GENE	RA
RIMBP3C	0.00021041
AVIL	0.00022059
CDKN2D	0.00022673
ZNF232	0.00023081
LIPE	0.0002327
APOBR	0.00023319
GFI1	0.0002337
SH3D19	0.00023696
HIBCH	0.00023697
RNF40	0.00023768
PCNA	0.00023872
CHD7	0.00023996
HMG20A	0.00025402
ESYT1	0.00026687
INPP1	0.00026776
KLF2	0.00026797
NDUFS1	0.00027007
PIGR	0.00027662
PTPRC	0.00027901
ZCRB1	0.00028169
LTK	0.00028789
SMIM29	0.00028852
JADE2	0.00029155
MARS2	0.00030527
HIC2	0.00030806
TCP11L2	0.00031228
LY6E	0.00031407
ARHGEF25	0.00031808
PLEKHA1	0.0003212
ATP5MF-PTCD1	0.00033129
FAM200A	0.00033573
SIGLEC6	0.00033706
CD79B	0.00034178
KLF3	0.00034218
ZFP82	0.00034741
ZNF789	0.0003506
KTN1	0.0003533
PIGN	0.00035456
LITAF	0.00035826
ARHGAP31	0.00037107
CDR2L	0.00037369
ATP5MF	0.00037663
ANKRD49	0.00038635
CNTRL	0.00039258
DNLZ	0.00039279
NDUFAF1	0.0004016
CHRNA9	0.00040857
TRIM47	0.00041013
CCDC189	0.00041064
MAT1A	0.00041167
RAB14	0.00041978
CARD9	0.00042778
DNAJC28	0.00043145
PTCD1	0.00044197
SNX13	0.00045533
RTF1	0.00046569
GNB1	0.00046729
PPP1R1B	0.00047478
CSF2RB	0.00047624
BAG1	0.00047874
KLF13	0.00049032
MAB21L2	0.00049573
ZBED8	0.00049843
GLI1	0.00050165
IL17C	0.00050637
CFDP1	0.0005223
CDC37	0.00052321
ZNF592	0.00052484
GMIP	0.00052962
EXD1	0.00053446
FAM167A	0.00053651
PCYT1A	0.00054056
CD19	0.00054457
RETSAT	0.00055217
ARHGAP1	0.000554
IFNA8	0.00056351
INHBE	0.00056525
HSPBP1	0.00056772
SLC9B1	0.00056973
ABCC12	0.00057095
HSPB6	0.00058233
NUSAP1	0.00058246
LAX1	0.00058941
ZNF394	0.0005931
SLCO4C1	0.00059638
EEF1B2	0.00059753
IQGAP1	0.00060678
PEX13	0.00060869
PSMD14	0.00061068
RASA2	0.00062468
LPAR2	0.00063416
IL1R1	0.00063424
SOCS1	0.00063451
ACAD11	0.00064138
CPSF4	0.00065153
TRAM1L1	0.00065258
C5	0.00065744
ARHGEF26	0.00066208
CCDC88B	0.0006705
RERE	0.00067805
HORMAD2	0.00067808
C2CD6	0.00067875
AARS2	0.00068589
MRPS31	0.00068696
GART	0.00070466
SMIM13	0.00071442
TNP2	0.00071805
ZKSCAN5	0.00073533
SLTM	0.00073966
PLCB3	0.00074322
PADI3	0.00074537
ASCC3	0.000747
LGR5	0.0007503
ATG5	0.00075505
UBA5	0.00076216
CHRNB2	0.00077156
TRAM2	0.00077384
NFATC2IP	0.00077466
FAM126B	0.00077785
CD274	0.00078001
CASP10	0.00078339
TMEM145	0.00078551
FBRS	0.00079273
TCF7	0.00080162
FOXO1	0.00080401
RBM23	0.00081969
CPNE7	0.0008267
ULBP3	0.0008347
NAT16	0.00083635
MEGF8	0.00084115
TMEM170A	0.00084252
RIC1	0.00084384
NADK	0.00084764
CAPSL	0.00084909
MTF2	0.00084919
TRIM65	0.00084974
GFRAL	0.00086064
ACTR2	0.00088884
DBNDD1	0.00089016
SIGLEC1	0.00089088
C15orf53	0.00089774
SMAD3	0.00090262
ZNF655	0.00091286
GAK	0.00091678
ZIK1	0.00091929
RAD51B	0.00092701
SGF29	0.00092969
EPHA10	0.00094526
HCLS1	0.00096234
MDH2	0.00096253
KEAP1	0.00096742
PRMT5	0.00096781
SULT1A1	0.00097022
SLU7	0.00097271
ARID2	0.0009857
NIF3L1	0.00099186
PPHLN1	0.00099764
MKS1	0.0010104
CBLB	0.0010138
SKAP2	0.0010151
FAM45A	0.001019
COX5B	0.0010269
SMCO4	0.0010551
ZDHHC19	0.0010651
ZNF689	0.0010651
RARG	0.0010684
CD226	0.0010737
MTMR3	0.0010792
NPIPB6	0.0010975
INSRR	0.0010998
FGF3	0.0011082
KDM7A	0.0011136
TNFRSF14	0.001126
TMEM213	0.0011327
SIRT3	0.0011345
CACNA1S	0.0011365
CALML6	0.0011373
SMIM14	0.0011396
ZNF518B	0.0011458
WBP2	0.0011564
AMER3	0.0011574
FAM96B	0.0011588
ZNF438	0.0011656
TMEM120A	0.0011717
TERT	0.0011809
POU6F1	0.0012036
TCEA2	0.001222
SEC11A	0.001233
FAM237A	0.0012396
NRROS	0.0012524
SNAPC4	0.0012536
LONRF2	0.0012557
PAPOLG	0.0012698
PSMD5	0.0012748
SEC16B	0.0012841
TSKU	0.0012865
GDPD3	0.0012892
CD6	0.0012905
LRRC3C	0.0012941
APH1A	0.0013002
LRBA	0.0013174
MED26	0.0013188
DONSON	0.0013282
CARD11	0.0013314
ACTRT3	0.0013384
C1orf146	0.0013711
UBXN7	0.0013783
PXT1	0.0013825
OIP5	0.001384
NDUFB3	0.0013878
FAM160A1	0.0013909
DR1	0.0014071
CCR3	0.0014147
THSD7B	0.0014266
STYXL1	0.0014316
CHMP5	0.0014409
CEACAM8	0.0014409
ZNF891	0.0014471
MRE11	0.0014481
SON	0.0014482
ELMO1	0.0014489
GPR148	0.001453
SCAF11	0.0014762
FGFR1OP	0.0014824
TM4SF19	0.0014935
PDP2	0.001497
DCAF5	0.0015147
CYP3A43	0.0015165
EHD2	0.0015291
GRB7	0.0015358
ZNF135	0.0015569
TMEM248	0.0015697
SPINK4	0.0015892
ACKR4	0.0015954
SLC43A3	0.001617
NFX1	0.0016193
TNFSF9	0.0016311
PAFAH1B3	0.0016364
ERVFRD-1	0.001639
KPRP	0.0016398
C1orf54	0.0016429
NLRP13	0.0016503
MYNN	0.0016689
ADAM15	0.0016694
PRR19	0.0016908
TCTEX1D2	0.0016948
MIEF2	0.001703
FABP5	0.0017079
BCL2L11	0.0017085
ZNF416	0.0017151
EEF1AKMT2	0.0017214
TMEM52	0.0017268
SPATA22	0.0017285
KIT	0.001739
INPP5A	0.0017406
PBX1	0.001772
CCR1	0.001772
JDP2	0.0017773
STAM2	0.0017926
KIF21B	0.0018019
SLC35D1	0.0018062
CA14	0.0018081
ZBTB7B	0.0018119
PXYLP1	0.001819
ACSS2	0.0018365
UBE2B	0.001857
ST3GAL4	0.0018584
DHX58	0.0018613
ANHX	0.0018798
KRT24	0.0018821
BLOC1S3	0.0018868
RAB5C	0.0019022
PTTG1	0.0019174
FKBP2	0.0019219
N4BP2	0.0019609
LYRM9	0.0019622
CDKL3	0.0019683
XPNPEP1	0.0019735
KLHL32	0.0019744
CCNI2	0.0019883
DCST2	0.0020085
SULT1A2	0.0020343
ATP5MG	0.0020528
PCCB	0.0020628
ZNF774	0.0020909
CD2	0.0021038
SCNN1D	0.0021199
LCE1F	0.0021212
KPNB1	0.0021225
IRGC	0.0021319
UBE2J2	0.0021436
TMEM237	0.0021452
KLRD1	0.0021943
ADAM23	0.0021947
KRT222	0.00221
IL24	0.0022247
ANP32E	0.0022364
KIFC2	0.0022542
NEMP2	0.0022595
SAMD10	0.0023161
TSPAN31	0.0023499
TSPOAP1	0.0023512
FCMR	0.0023573
TNFRSF18	0.0023742
SCN4A	0.0023766
TNFRSF4	0.0023779
SMARCE1	0.0023795
TCAP	0.0023848
ANXA11	0.0023975
DYTN	0.0023978
SFPQ	0.0024053
RAB19	0.0024123
SLC2A13	0.0024194
CDKN2AIPNL	0.0024372
PELP1	0.0024382
ZC3H7A	0.0024406
TSEN2	0.0024435
CHAC1	0.002475
CD101	0.0024897
LIN37	0.0024914
TRMT112	0.0024926
ETS1	0.0024937
LGALS9	0.0024963
BIK	0.0025014
KAT2A	0.0025074
PNPT1	0.0025077
ZNF429	0.0025095
GSK3A	0.0025132
NFE4	0.0025161
GPSM1	0.0025219
UBE2F	0.0025292
BBC3	0.0025493
CAPNS2	0.0025781
PBX4	0.0025805
RBM43	0.0025926
LMNB1	0.0026177
UBE4A	0.0026343
ATP13A1	0.002643
THEMIS	0.0026766
EDAR	0.002702
PLOD1	0.0027108
EFHC1	0.002711
PRPF6	0.0027304
POU2F2	0.0027442
HSPB9	0.002767
APBA3	0.0027811
VEGFB	0.0027865
ABHD16B	0.0027885
C19orf71	0.0028151
RBPMS	0.0028794
CNGA1	0.0029261
ZBED6	0.0029355
FUT3	0.0029447
TCTE1	0.002946
RECQL4	0.0029474
PIK3R3	0.0029511
GPR33	0.0029574
MYL6	0.002962
SMG8	0.0029758
SLC12A5	0.0030051
DNAJB2	0.0030418
SIM1	0.003077
PSMB7	0.0031253
FLI1	0.0031267
MIER1	0.0031297
ZNF730	0.0032023
HOXA2	0.0032464
DDX10	0.0032537
MTRNR2L8	0.0032681
EXOC6B	0.0032829
CASC3	0.0032995
ZNF530	0.0033123
MFSD3	0.0033227
ZFP3	0.0033295
MSL1	0.0033331
GCGR	0.0033403
PAFAH1B2	0.0033558
CIITA	0.0033852
TOR1B	0.0033929
PPP6R1	0.0033961
MAST2	0.0034044
CHN1	0.0034091
GH1	0.0034117
ASPA	0.0034228
IL3	0.0034392
CMTM6	0.0034498
SSTR3	0.003481
PTPRN	0.003484
KDM2B	0.0034876
CYP3A5	0.0035012
GDPD1	0.0035427
ZDHHC20	0.0035498
TRAPPC6A	0.0035787
LCE4A	0.003617
SGK1	0.0036257
EVI5	0.0036282
MFSD12	0.0036938
TCF21	0.0037434
AP3B1	0.0037945
ABCG4	0.003801
MANEA	0.0038107
JAGN1	0.0038298
PRKCG	0.0038418
LDLR	0.0038532
DCST1	0.003861
MIEN1	0.0038647
ALDH8A1	0.0038698
INPP4B	0.0038707
CD200	0.0038763
CSHL1	0.0038835
ZNF697	0.0038979
PPIL6	0.0039331
RNF6	0.0039764
MMS22L	0.0039842
RPS6KA4	0.003987
ILDR2	0.0039908
ZNF10	0.0040343
AJUBA	0.0040469
SCAND1	0.0040593
SIRT1	0.0040631
RIMBP3B	0.0040646
TOX	0.0040667
MAN2B2	0.0040717
S1PR5	0.0040793
TAGLN	0.0040948
SOX5	0.0041051
PTPRF	0.0041093
HERC4	0.004128
ACER3	0.004128
STAT5B	0.0041375
RRAS2	0.0041505
KANK2	0.0041522
ELOC	0.0041552
ACACA	0.0041792
GAS8	0.0041823
CDK4	0.004194
RAPGEF4	0.0042023
LIMS1	0.004217
CPLX1	0.0042404
DEDD2	0.0042914
MS4A18	0.0043209
GPR25	0.0043302
TOR1A	0.0043351
CSH1	0.0043791
GPX4	0.0043938
CISD2	0.0044043
ACAP3	0.0044471
SERTAD3	0.0044797
DGKQ	0.004573
MYL6B	0.0045761
SLC30A10	0.0045933
TMEM101	0.0046014
AP1M2	0.0047019
CDK8	0.0047112
PYROXD1	0.0047335
TMEM9	0.0047454
SLC25A41	0.0047662
GPR183	0.0047811
EPS15L1	0.004782
INO80D	0.0047823
FAM76B	0.0047844
GLMN	0.0048051
MANBA	0.0048416
PSG3	0.0048807
COX11	0.004887
GPR39	0.0049126
MYH15	0.0049495
IPP	0.0049656
MYO1C	0.0049743
FAM196B	0.0049754
RD3	0.0049875
CYBA	0.0050036
CXCL6	0.0050429
TRIAP1	0.0050755
IL12B	0.0051757
UBE2E1	0.005192
GCC2	0.0051967
C11orf21	0.0052147
CBLC	0.0052171
RAPGEFL1	0.0052254
ZNF268	0.0052377
PPP1R14B	0.0052491
PREX1	0.0052543
TRIM16L	0.0052595
BCL3	0.0052813
TBRG4	0.0052848
CIART	0.0052953
TNFRSF10C	0.0053028
TMEM69	0.0053288
DENND1B	0.0053295
BRSK1	0.0053868
TBX21	0.0054213
TSGA10IP	0.0054867
MEP1A	0.0055081
SLITRK6	0.005534
NUPR1	0.0055937
OTULINL	0.0056077
PPIL3	0.0056452
C1orf53	0.0056518
WDR19	0.0056616
ZSWIM7	0.0057099
KCMF1	0.005738
TMEM86B	0.0057422
OR1A1	0.0057511
TMEM225B	0.0057561
STMN3	0.0058452
DAZAP2	0.0058562
OR2V2	0.0058583
KIAA1211L	0.0059105
TMEM131	0.0059118
MRGPRX2	0.0059136
FAM107A	0.0059325
OPRL1	0.0059426
L3MBTL4	0.0059476
SSC5D	0.0059479
CAMSAP2	0.0059546
CD3G	0.0059827
CEP57	0.0059843
SNRPE	0.0060054
FIG4	0.0060109
IZUMO1R	0.0060497
REM2	0.0060554
DNAJC4	0.0060696
PROSER3	0.0060955
SLC27A6	0.0061082
LMO7	0.0061263
UHRF1	0.0061309
C9orf16	0.006142
SLF1	0.0061573
CFAP36	0.0061802
GPR137	0.0061939
HSPA12B	0.006201
EIF2B2	0.0062047
ZNF526	0.0062047
ILDR1	0.0062323
VGF	0.0062346
TYW1	0.006242
SLC25A20	0.006257
CYHR1	0.0062606
STAT6	0.0062672
FAM117B	0.006286
CCDC138	0.0063335
PTGFRN	0.0063432
RAB13	0.006345
HBG2	0.0063748
RAP1A	0.0063788
MUC12	0.0063948
VWA5A	0.0064
GJB5	0.0064097
ATG13	0.0064438
GYS1	0.0064458
CDC6	0.0064794
AMPD1	0.0064873
ZNF831	0.006489
MX1	0.0064931
CENPV	0.0065033
ZBTB24	0.0065141
HAUS4	0.0065159
SMARCD2	0.0065707
C1orf68	0.0065709
RMI2	0.0065723
SCLY	0.0066137
PFKFB3	0.0066319
C1QTNF6	0.0066373
KLHL5	0.0066617
DUXA	0.006761
TUBB4A	0.0067688
C9orf163	0.0067714
LYST	0.0067715
SKI	0.0067764
RBM12	0.0067845
ATG14	0.0068036
CYB5D1	0.0068086
EBPL	0.0068225
AMBRA1	0.0068316
HARBI1	0.0068442
U2AF1L4	0.0068563
CLINT1	0.0068697
ANKH	0.0069055
ZNF425	0.006917
DCTN2	0.0069312
WDR83OS	0.0069742
COX6A1	0.0070311
PUSL1	0.0070389
NFS1	0.0071051
HELZ	0.0071388
MUC16	0.007139
MXD1	0.0071415
SPON1	0.0071515
CNFN	0.0071696
SUPT3H	0.0071802
EREG	0.0071851
ENTR1	0.00721
IER3IP1	0.0072206
GIGYF1	0.0072505
GATB	0.0072724
ANO7	0.0072828
DUSP16	0.0072865
PSMC5	0.0072868
STARD3	0.0072933
ATP10A	0.0073217
DNAJC2	0.0073294
TRIM63	0.0073353
HOXA10	0.007336
GPBP1L1	0.0073476
C2orf42	0.007359
TMEM230	0.007378
TSPAN33	0.0073918
ZBTB20	0.0073989
ADORA2B	0.0074081
SMARCC2	0.0074222
GAS2	0.0074506
HBG1	0.0074854
SIDT2	0.0074991
EFCAB7	0.0075103
HOXA11	0.007532
FAM133B	0.0075379
LRRC41	0.0075446
SYT16	0.0075484
ZNF786	0.0075599
PLIN3	0.0075661
ZSCAN25	0.0075733
UBALD1	0.0075896
SARNP	0.0075918
IL1F10	0.0075966
UQCRH	0.0076236
CACNG1	0.0076664
ACSS3	0.0076809
LARS	0.007686
PHF20	0.0076906
ATRX	0.0076996
MICAL1	0.0077016
TNIP2	0.0077328
NME3	0.0077361
MEGF6	0.0077906
SYNE3	0.0078124
PPFIA1	0.0078408
CCDC171	0.0078519
ZNF3	0.0078879
FBXW10	0.0078936
OXA1L	0.0078994
RPL5	0.0079013
FTSJ3	0.0079204
PDAP1	0.0079512
MBLAC1	0.0079538
SPTSSB	0.0079553
SAE1	0.007963
TMEM132B	0.0079699
MCRIP1	0.0079741
C2orf66	0.0079902
NCOR1	0.0080252
AVPR1A	0.0080464
GDF7	0.0080523
ZNF347	0.0080652
NINJ1	0.0081183
PRAG1	0.0081311
UPK1B	0.0081327
ELMO2	0.0081351
PSENEN	0.0081425
IKBKE	0.008166
JAK1	0.0081818
RIPOR2	0.0081938
CCDC112	0.0081998
C9orf78	0.0082083
RARA	0.0082118
B3GNT2	0.0082264
LPAR6	0.0082491
SLC26A5	0.008257
C6orf222	0.0082755
SSBP4	0.0082916
CNTN4	0.0083002
OR6X1	0.0083482
PPP4R3B	0.0083578
LPO	0.0083928
ARRB2	0.0084681
PPIL4	0.0085103
IL1RN	0.0085333
OTOF	0.0086083
N4BP1	0.0086239
PCDH15	0.0086466
MYBPH	0.0086528
ZNF473	0.0087091
SECTM1	0.0087152
FAM83A	0.0087966
TMEM63C	0.0088036
GATC	0.0088152
PPM1A	0.0088405
GLYR1	0.0088458
SFT2D1	0.0088471
ISYNA1	0.008856
XKR6	0.0088709
LCE2A	0.008917
MPP2	0.0089442
TMEM175	0.00895
SPATA5	0.0089723
ROBO2	0.0089796
ZBTB38	0.0089856
SMG9	0.0090262
SIGLEC9	0.0090519
PLAC8L1	0.009103
CRYZL1	0.0091493
IRF8	0.0091503
EBF4	0.0091895
GOLGB1	0.009195
ACTL7A	0.0092019
MRPL21	0.0092567
NR2C2AP	0.0093513
SORL1	0.0093918
CFAP77	0.0094089
PCSK7	0.0094513
CREB3L2	0.009465
ZNF493	0.0094734
WDR73	0.0095265
RIOK3	0.0095311
SELENOF	0.0095468
AK9	0.0096033
MARCH9	0.0096162
BLID	0.0096588
ATP6V0A4	0.0096851
CNBD2	0.0096923
KIAA1468	0.0096993
DNMT3L	0.0097023
DNASE1L3	0.0097057
ZC2HC1A	0.0097142
HDLBP	0.0097931
SESN1	0.0098109
MOB4	0.0098659
GALC	0.0098676
GPC2	0.009875
ST13	0.0098797
CTBP1	0.0099139
VPS13B	0.0099169
MLH3	0.0099297
PSMB10	0.010031
ARIH2OS	0.010034
SUCNR1	0.01004
MOXD1	0.010041
TRIM4	0.010042
SHMT1	0.010076
CPT1C	0.010099
KCNV1	0.010122
ELANE	0.010125
PDE4C	0.010128
MRPL38	0.010134
ERRFI1	0.010206
RTEL1-TNFRSF6B	0.010214
ZNF574	0.01022
DHRS7C	0.010223
IL36A	0.010266
OTOP3	0.010304
EBLN1	0.01038
NARS2	0.010383
HIVEP2	0.010385
CNPY4	0.010409
POGK	0.01041
CASC1	0.01047
TM2D1	0.010472
SLC24A5	0.010494
SLC25A29	0.010524
PXDC1	0.010527
PPP1R16A	0.010533
SERBP1	0.010569
SLC35B2	0.010593
ESRRA	0.010702
AMOTL1	0.01071
VSIR	0.010719
ZNF532	0.010734
HEATR5A	0.010783
TRMO	0.010793
TRAF3IP2	0.010797
ARHGDIA	0.010797
ABHD6	0.010799
RBBP8	0.010842
HIRIP3	0.010847
EPN1	0.010882
TSC1	0.010888
FAM162A	0.010928
PRKAA1	0.010971
NPIPB8	0.010977
GCA	0.010993
HS2ST1	0.011004
GPR18	0.011009
OR1E2	0.011026
USF3	0.011033
BRI3BP	0.011044
TLE3	0.011051
PLCB1	0.011082
RIMS3	0.011083
SLC16A3	0.011089
RTEL1	0.011157
LCE3A	0.011278
LCE2B	0.011289
SPAG4	0.011293
DNAJB6	0.011327
MTMR2	0.011335
NCAPG2	0.011338
CSF2	0.011344
SPRR2G	0.011398
POP7	0.011399
PCDHGC3	0.011407
LMO7DN	0.011409
PRIMPOL	0.011443
FAM172A	0.01147
NPC1L1	0.011472
NKPD1	0.011474
CLHC1	0.011503
GTPBP8	0.011512
SLCO2A1	0.011578
PCTP	0.01159
CGNL1	0.011591
ISM1	0.011591
SIX6	0.011595
SDF2L1	0.011598
CD164	0.011601
STAT5A	0.011651
FOXD4L1	0.011682
PRMT6	0.011703
COX6A2	0.011764
KCNIP1	0.011772
PTPRS	0.011787
FAM69A	0.011816
HSPE1-MOB4	0.011897
LRRC34	0.011898
CLNK	0.011909
ZGPAT	0.011912
TMEM14A	0.011967
LIME1	0.012023
ARCN1	0.012069
UBAC2	0.012145
SLC35C2	0.012211
ZFP28	0.012236
GATAD1	0.012257
P4HB	0.012262
FUT4	0.012274
ELL	0.012277
PPP1R14A	0.012286
ZNF398	0.012319
CABLES1	0.012348
ANLN	0.012373
ANKRD11	0.012376
ZNF273	0.012425
DOHH	0.012436
ZNF607	0.012494
TBPL2	0.012507
ARPC1B	0.012509
TNKS2	0.012532
ZNF202	0.012534
RAPGEF6	0.012536
IGFALS	0.012573
REXO4	0.012574
THOC5	0.012582
PRPF18	0.012601
TBC1D29	0.012612
TOP2A	0.012629
DYRK3	0.012631
SEMA3A	0.012648
LRRIQ4	0.012659
CLDN14	0.012669
KPNA3	0.01267
B4GALT1	0.012671
FBXW2	0.012684
FCRL4	0.012685
IFI16	0.012685
C1orf52	0.012742
TPR	0.012742
C1QTNF9	0.012745
ODF3L1	0.012746
COQ10B	0.01277
VAMP3	0.012824
PDZK1IP1	0.012887
PPM1L	0.012898
PSME3	0.012921
DDX42	0.01295
LRRC25	0.012955
EFR3B	0.012977
NME4	0.012999
PRR11	0.013074
