GENE	RA
GTF2I	4.87e-07
CORO1A	5.023e-07
PSD4	5.2987e-07
SLX1A	5.3067e-07
LOC101927260	5.4992e-07
SDHB	5.5296e-07
LOC101928947	6.2759e-07
TSPAN31	6.4072e-07
C5	6.5909e-07
DAP	6.9489e-07
PDE4A	7.1582e-07
DTX3	7.4806e-07
DNMT3L	7.7859e-07
RNF40	7.7924e-07
SULT1A3	7.8197e-07
RPL6	7.8582e-07
EBF1	8.0505e-07
PHKG2	8.76e-07
PNMT	8.8379e-07
BLK	8.9441e-07
FAM167A	9.0485e-07
SDF2L1	9.1074e-07
LOC730183	9.3879e-07
ATP13A2	9.6242e-07
MAU2	9.985e-07
CFAP119	1.0419e-06
IL6R	1.0451e-06
MAPK3	1.1227e-06
CFLAR	1.1609e-06
TRAF6	1.1665e-06
SRCAP	1.2255e-06
FCAMR	1.2382e-06
VPS37C	1.2875e-06
CD5	1.2947e-06
TMEM265	1.3055e-06
TSSK6	1.3614e-06
NCAN	1.4038e-06
ADAD1	1.5422e-06
GATD3A	1.5589e-06
TCAP	1.639e-06
S1PR5	1.6565e-06
GDPD3	1.6725e-06
GRB7	1.824e-06
TTC34	1.878e-06
HIC2	1.9377e-06
PADI6	1.9973e-06
STARD3	2.0059e-06
TNFRSF14	2.0587e-06
TDRD10	2.1034e-06
NDUFA13	2.2139e-06
AP1M2	2.2732e-06
MARCH9	2.2935e-06
ABHD16B	2.3496e-06
IL2	2.3926e-06
PLCL1	2.3929e-06
PHETA1	2.4782e-06
ZBTB46	2.535e-06
LOC100996337	2.5374e-06
TMEM191C	2.5374e-06
GNG4	2.5415e-06
LRRC3C	3.0294e-06
PADI2	3.0388e-06
FRYL	3.1216e-06
CDC37	3.1513e-06
FBRS	3.2743e-06
LYST	3.3489e-06
PIP4K2C	3.4552e-06
IL21	3.4554e-06
PTPN11	3.7944e-06
MANEAL	3.9867e-06
C1orf122	3.9956e-06
FGFR1OP	4.0279e-06
CDK4	4.1184e-06
ZNF629	4.2052e-06
ORMDL3	4.2155e-06
ILF3	4.2458e-06
RUNX3	4.2596e-06
GLS	4.2663e-06
LBH	4.2671e-06
ESYT1	4.4351e-06
ATP2A1	4.495e-06
RABEP2	4.7003e-06
UBE2Q1	4.7251e-06
CHRNB2	4.8054e-06
TAF3	4.8532e-06
TEC	4.9191e-06
ZDHHC19	5.0654e-06
FEN1	5.0751e-06
LOC101060024	5.3934e-06
ALDH2	5.5029e-06
CD19	5.5125e-06
IKZF3	5.5775e-06
TMPRSS3	5.7257e-06
BRAP	5.988e-06
MIEN1	6.0586e-06
EOMES	6.0922e-06
ACAD10	6.1299e-06
PPARG	6.2954e-06
KLF2	6.383e-06
SDCCAG8	6.5434e-06
ANTXR2	6.5502e-06
HOXA1	7.0491e-06
YAF2	7.0809e-06
TNFSF4	7.2331e-06
TSPAN14	7.7061e-06
YDJC	7.7218e-06
YRDC	7.7328e-06
FADS2	7.7554e-06
MTF1	7.9215e-06
DNAJC28	7.9791e-06
BOLA2B	8.0604e-06
POLR3B	8.3889e-06
CASP8	8.5752e-06
LDLR	8.7752e-06
BCL9L	8.9342e-06
SH2D2A	8.9591e-06
PSMD5	9.0482e-06
KIAA1109	9.2051e-06
ZAR1	9.2264e-06
PRR14	9.4428e-06
SLC10A4	9.5774e-06
EEF1AKMT3	9.6025e-06
SLC51A	9.6824e-06
TMEM258	9.8736e-06
SH2B3	9.88e-06
MED1	1.0199e-05
TXK	1.0214e-05
ACOXL	1.0435e-05
SYT6	1.0569e-05
FAM133B	1.0754e-05
ERP29	1.1412e-05
HELZ2	1.1645e-05
CDK12	1.1832e-05
NPIPB9	1.1881e-05
CDKN2D	1.2065e-05
NAT2	1.2086e-05
PBX4	1.2154e-05
TGOLN2	1.2401e-05
MFAP2	1.2887e-05
RNASET2	1.3578e-05
RNASEH1	1.3683e-05
INPP1	1.4094e-05
GMEB2	1.4369e-05
C1orf137	1.505e-05
HECTD4	1.5117e-05
FAM213A	1.5661e-05
KCNE1	1.5968e-05
ATXN2	1.6028e-05
FCRL3	1.6126e-05
TCF7	1.6161e-05
LONRF2	1.6558e-05
IL2RB	1.6749e-05
MFSD6	1.6867e-05
NAA25	1.6908e-05
PTPRC	1.7447e-05
TMEM116	1.7556e-05
LOC200726	1.7647e-05
SH2B1	1.8094e-05
TFAP2C	1.8693e-05
EPHA10	1.9077e-05
CDK6	1.9284e-05
PIGR	1.9346e-05
NCF1	1.9565e-05
TPD52L2	2.0504e-05
TFCP2	2.1006e-05
NFATC2IP	2.1631e-05
TUFM	2.1715e-05
MYRF	2.2023e-05
FCGR3B	2.2765e-05
FBXL20	2.3388e-05
KSR1	2.4205e-05
ATXN2L	2.4492e-05
TRAFD1	2.4733e-05
PAM	2.483e-05
JADE2	2.5071e-05
BOLL	2.5432e-05
SLAIN2	2.5692e-05
ADAMTSL1	2.6045e-05
ZNF689	2.6336e-05
ZC3H7A	2.6783e-05
CACNB4	2.8326e-05
SPC24	2.8719e-05
DENND1C	2.9503e-05
YPEL3	3.0074e-05
PSMD13	3.0447e-05
CYP27B1	3.09e-05
POU6F1	3.1556e-05
IL1RN	3.205e-05
PRSS48	3.2229e-05
MKRN2	3.3474e-05
INAVA	3.4328e-05
MKRN2OS	3.4508e-05
RAG1	3.4616e-05
MARS2	3.5416e-05
ASAP1	3.5709e-05
RIN3	3.7563e-05
BET1L	3.9301e-05
PCYT1A	3.9307e-05
PPIP5K2	3.9431e-05
KDM4B	3.9643e-05
ELL2	4.1499e-05
ZNF146	4.1517e-05
CASP10	4.1818e-05
SLU7	4.4044e-05
ETV7	4.4327e-05
GIN1	4.4984e-05
EIF3C	4.5244e-05
FADS1	4.5295e-05
KLLN	4.6034e-05
CYP3A4	4.6424e-05
CEP170	4.9619e-05
HMG20A	5.0916e-05
ATG4D	5.1891e-05
RIC8A	5.2266e-05
NFKBIE	5.3134e-05
DYDC1	5.4327e-05
PADI3	5.4348e-05
SIRT3	5.5158e-05
ZNF565	5.5314e-05
SOX18	5.5499e-05
RASA2	5.5887e-05
MAPKAPK5	5.6654e-05
KRI1	5.726e-05
PGA3	5.7744e-05
NYAP2	5.7886e-05
BCL7C	5.8272e-05
ZNF594	5.9418e-05
USP6	6.0647e-05
ZC3H11A	6.1274e-05
JDP2	6.1505e-05
C1QTNF6	6.185e-05
GART	6.2792e-05
OTULIN	6.2847e-05
ZNF785	6.3837e-05
STMN3	6.4151e-05
TSEN2	6.4759e-05
KLF3	6.6249e-05
RAF1	6.6295e-05
SEMA6D	6.71e-05
CXCL17	6.8182e-05
PEAK1	7.0436e-05
GPR25	7.0495e-05
SH3D19	7.1166e-05
ITPKA	7.3045e-05
JAZF1	7.3477e-05
NTRK1	7.4691e-05
CLNK	7.5538e-05
KIF5A	7.8098e-05
PAQR8	8.0951e-05
ZBED6	8.2314e-05
OCIAD1	8.3462e-05
HIBCH	8.9015e-05
ZNF232	8.9645e-05
DYDC2	9.0242e-05
ALS2CR12	9.3424e-05
DGKA	9.5961e-05
SCGB1C1	9.6861e-05
MTF2	9.7119e-05
CHRNA9	0.00010031
TCTE1	0.00010178
TMEM151B	0.0001095
NDUFS1	0.00011168
BANK1	0.00011236
FOXO1	0.00011561
RTF1	0.0001183
FCMR	0.00011892
ZFP14	0.00011894
PRCC	0.00012005
TSFM	0.00012132
CACNA1S	0.00012341
PRDM1	0.00012375
TREH	0.00012451
HSPA12B	0.00012612
RBPJ	0.00012625
METTL1	0.00012991
NEMP2	0.00013051
HOXA2	0.00013221
PDGFB	0.00013323
LIPE	0.00013568
TSKU	0.00013636
LOC101929578	0.0001374
ADAM23	0.00013747
SCIMP	0.00014074
PTTG1	0.00014136
TMED5	0.00014236
QTRT1	0.00014281
STAC2	0.00014586
AVIL	0.0001471
TNFSF18	0.00014783
KIF21B	0.00015395
ZBED8	0.000154
CLN3	0.00015828
SIGLEC1	0.0001593
SNAPC4	0.00016149
RFTN2	0.0001624
FLI1	0.00016514
RPS7	0.00016855
CYP3A43	0.00017209
FADS3	0.00017339
ART1	0.00017405
LMNB1	0.0001751
TAL1	0.0001778
ZNF438	0.00017826
IL27	0.00018094
TCEA2	0.0001832
PDIK1L	0.00018626
PPHLN1	0.00019032
NEK6	0.00019143
ANKRD49	0.0001932
DNLZ	0.00019388
RTEL1	0.00020099
ART5	0.00020297
OPRL1	0.00020465
APOBR	0.00020482
CFDP1	0.00020672
CCDC18	0.00020897
CNTRL	0.00021077
ATG5	0.00021364
SPNS1	0.00021388
CD79B	0.00021588
CARD11	0.00021915
MYL6B	0.00022462
ZBTB38	0.00022525
SLCO4C1	0.00022784
LITAF	0.00023025
SNX13	0.00023091
CARD9	0.00023123
LAT	0.00023219
KTN1	0.00023285
PSTPIP1	0.00023356
KANK2	0.00023497
SLC35B2	0.00023514
IL15RA	0.00024412
EFHC1	0.00024656
TUBB4A	0.00025032
STAG1	0.00025626
NIPAL1	0.00026402
ATP5MF	0.00026967
ZNF394	0.00027304
GH1	0.00027611
RCAN1	0.00027718
NLRP6	0.00027747
TNFSF9	0.00027763
PRDX5	0.00027895
ESRRA	0.00028099
ZKSCAN5	0.00028245
ELMOD3	0.00028765
ARHGAP31	0.00029098
ZNF789	0.00029193
IRF8	0.00029304
MRE11	0.00029734
SNRPE	0.0002984
NUPR1	0.00029856
CHD7	0.00029899
SGF29	0.00029979
RETSAT	0.00030058
SEC16B	0.00030933
TCP11L2	0.00031483
C11orf97	0.00032061
MAT1A	0.00032402
NEUROD2	0.00032637
CDH16	0.00032654
PGGHG	0.00033128
CTF1	0.00033149
TNFRSF11A	0.00033453
CSHL1	0.00033688
MANEA	0.00033704
IL12A	0.00034151
AMER3	0.00034581
PIGN	0.00035413
CCRL2	0.00035769
LPAR2	0.00036113
CD247	0.00036429
TSPAN3	0.00036965
RGS19	0.0003748
TCTEX1D2	0.00037598
PDP2	0.00037618
IL1F10	0.00037832
ARMC2	0.0003812
TNIP2	0.00038764
TRAM1L1	0.00038854
DR1	0.00038971
CDH22	0.00039382
PXT1	0.00039449
ARID2	0.00039609
TM4SF19	0.00039751
ARHGEF26	0.00039837
TRIM47	0.00040083
GPR1	0.00040455
NDUFB3	0.00040477
PTEN	0.00040834
FAM110D	0.00040886
C1orf146	0.00041095
SMIM24	0.00041773
PPP1R1B	0.00041835
SPINK4	0.00041926
CPSF4	0.00042039
INSRR	0.00042364
SLC2A9	0.00042395
BAG1	0.00042752
MRPL4	0.00042941
CCDC88B	0.00043264
CYP3A7	0.0004336
BATF	0.00043557
C2CD6	0.00043589
AARS2	0.00043625
GNB1	0.00044034
MYL6	0.00044108
ZFP3	0.00044759
TBX6	0.00044928
FAM126B	0.00044994
GPSM1	0.0004559
PIWIL4	0.00046478
LGALS9	0.00046674
SIM1	0.00046704
ODF3	0.00047244
SLC9B1	0.00047539
TMEM230	0.00047604
PSMD14	0.00047929
NDUFAF1	0.00048135
SULT1A2	0.00048465
PAPOLG	0.00048775
CHMP5	0.0004881
FAM45A	0.00048827
ADAM15	0.00049625
IL36B	0.00049875
PHLDB1	0.00050346
GMIP	0.00050535
BCL2L11	0.00050706
SLC12A5	0.00051172
NFX1	0.0005175
HOXA3	0.00051762
GPR137	0.00053186
EFNA4	0.00053613
PTK6	0.00053803
BAD	0.00054179
RHOH	0.00054506
FNDC11	0.00054844
TBX21	0.0005494
INO80D	0.00055303
PTPRS	0.00055423
CNFN	0.0005568
TBPL2	0.00055767
TMEM175	0.00055781
EEF1B2	0.00056024
CATSPERZ	0.00056946
TRMT112	0.00058465
KDM7A	0.00059116
ZFP82	0.00059952
ST3GAL4	0.00060434
CCL27	0.00060445
ZFP36L1	0.0006088
RRAD	0.00061151
PTCD1	0.00061623
ACSS3	0.00061631
ZNF592	0.00061875
TRAM2	0.00061946
URAD	0.00062056
LAX1	0.00062414
CNGA1	0.00065191
SCAF11	0.00065348
ORC2	0.0006613
ZNF655	0.00066153
KCNK4	0.00066599
ATP5MF-PTCD1	0.0006704
CYP3A7-CYP3A51P	0.00067222
LKAAEAR1	0.00067832
GAK	0.00068604
KRT222	0.00069572
KLF13	0.0007029
ERVFRD-1	0.00071197
FUT4	0.00071742
ADO	0.00071771
ADAM33	0.00071962
CH25H	0.00073696
FCRL2	0.00075354
CES2	0.0007563
NUSAP1	0.00075736
UBXN7	0.00075962
HORMAD2	0.00076171
RBM23	0.00076357
RIC1	0.00077412
LRBA	0.00077575
CD5L	0.00077683
FAM160A1	0.00078093
CHRNA10	0.00078993
OR2AE1	0.00079459
GTF2IRD2	0.00079808
EIF3CL	0.00079875
PRR19	0.00079985
IL23R	0.00080416
IQGAP1	0.00080893
PRICKLE1	0.0008098
HSPBP1	0.00081946
OIP5	0.00083028
SPATA22	0.00083582
WBP2	0.00084185
CIC	0.00084213
IL36RN	0.00084432
STAT6	0.00085922
FAM200A	0.00086574
SULT1A1	0.00087448
FCRL1	0.00087582
PMPCA	0.00088239
C6orf222	0.00088413
XPNPEP1	0.00090375
MARS	0.00090408
ALPK3	0.00090788
LRRC25	0.00090813
NPIPB6	0.00091607
GDF15	0.0009166
CROCC	0.00091995
SRMS	0.00092053
TFF1	0.00092164
ZCRB1	0.00092352
HES5	0.00092933
ACKR4	0.00092963
ZNF774	0.0009306
ASPA	0.00094315
RAB3IL1	0.00094827
N4BP2	0.00095376
KCNH4	0.00095435
GPR148	0.00095608
C7orf66	0.00096399
KPRP	0.00096658
PDZK1IP1	0.00097115
ZNF416	0.00097203
ERF	0.0010038
ACAD11	0.0010128
PAFAH1B3	0.0010229
EIF3A	0.0010349
MRPS31	0.0010356
ATP13A1	0.0010378
TMEM145	0.0010419
ZIK1	0.0010554
NPIPB8	0.0010658
CHP1	0.0010717
RSPH1	0.0010838
PRMT5	0.0010994
ATP6V0A4	0.0010997
KRT24	0.0011003
CAPSL	0.0011036
UNC13D	0.001104
GSDMA	0.0011045
PRPF6	0.001108
TBKBP1	0.0011127
SEC11A	0.001113
LTK	0.0011179
GSK3A	0.0011301
RAB5C	0.0011317
TRIM63	0.0011426
CCR3	0.0011432
PLCB3	0.0011432
PPIL3	0.0011459
MDH2	0.0011634
INPP5B	0.0011685
LOC101927160	0.0011708
NRROS	0.0011781
DCTN2	0.0011787
ASCC3	0.0011823
ENTR1	0.0011869
TNIP1	0.0011898
TMEM248	0.0011928
C20orf27	0.0011996
SSTR3	0.0012008
CD226	0.0012048
ZNF518B	0.0012111
PGA4	0.0012152
NIF3L1	0.0012199
CD2BP2	0.0012221
MEGF8	0.0012256
HDGF	0.001226
SLC25A23	0.0012264
SON	0.0012442
PLEKHA1	0.0012547
KIAA1468	0.0012581
RERE	0.0012774
DOHH	0.0012841
PPP1R14B	0.0012908
DCST1	0.0012941
DCST2	0.0012943
PADI1	0.0013023
PPP6R1	0.0013041
OR1E2	0.0013059
SLC35D1	0.0013063
UHRF1	0.0013143
GFRAL	0.0013442
SCN4A	0.0013545
C15orf53	0.0013554
TMEM170A	0.0013727
KMT2A	0.0013756
C6orf99	0.0013857
EDAR	0.0013948
CDR2L	0.0013959
TRIM65	0.0013994
ANKH	0.0014015
ARCN1	0.0014125
TMEM225B	0.0014152
MTMR3	0.0014193
THEMIS	0.0014254
ZSCAN25	0.0014533
SLC25A41	0.0014537
CCR5	0.0014637
SKAP2	0.0015045
HID1	0.0015085
FIG4	0.0015119
SMIM13	0.0015223
PDAP1	0.0015233
ZNF593	0.0015248
STYXL1	0.0015271
STAM2	0.0015285
CBLB	0.0015292
SLTM	0.00153
CALML6	0.0015351
FAM96B	0.0015382
SMCO4	0.0015629
CDKL3	0.0015658
LCE1F	0.0015678
TAB1	0.0015714
PTGFRN	0.0015751
EXD1	0.0015847
LOC100287036	0.0015853
ZNF574	0.0016075
SMAD3	0.0016166
HSPB9	0.0016168
ZNF530	0.0016287
KAT2A	0.0016377
COX7A1	0.0016484
GRHL2	0.0016488
ILDR1	0.0016789
BRSK1	0.0016819
DHX58	0.0016884
CCR1	0.0016935
GFI1	0.0016993
SOCS1	0.0017027
UBE2B	0.0017071
RPS6KA4	0.0017087
SMARCE1	0.0017091
LGR5	0.0017171
ABCC12	0.0017277
CA14	0.0017369
ACTR2	0.0017691
HAUS4	0.0017856
CTPS1	0.001787
SLC9B2	0.0018244
UBA5	0.0018402
TNP2	0.0018598
ATP5MG	0.0018644
C1orf68	0.0018702
CYP3A5	0.0018749
RMI2	0.0018858
AQP10	0.0018974
FZR1	0.0018986
NANOS1	0.0019004
KHSRP	0.0019036
SERBP1	0.0019142
LTF	0.0019146
ACSS2	0.0019235
SIGLEC12	0.0019337
CLINT1	0.0019418
NMB	0.0019543
BCAR1	0.0019571
PRAG1	0.0019695
DEDD2	0.0019757
ANXA11	0.0019891
IL24	0.0019904
TOX	0.0020247
GRHPR	0.0020442
RAD51B	0.002045
ARRB2	0.0020464
PGAP1	0.0020768
MOXD1	0.0021336
NDRG1	0.0021351
ZNF526	0.0021351
TMEM100	0.0021352
MIER1	0.0021366
EEF1AKMT2	0.0021481
TMEM120A	0.0021766
ZBTB21	0.0021816
TMEM14A	0.002185
ANP32E	0.0021871
NR2C2AP	0.0021965
PANK4	0.0022123
BUD31	0.0022154
CDKN2AIPNL	0.0022196
SCNN1D	0.0022446
DNASE1L3	0.0022658
IGSF11	0.0022805
DCAF5	0.0022897
SETSIP	0.0022941
TMEM213	0.002295
PELP1	0.0023143
CTDSP2	0.0023234
C1orf116	0.0023321
PPIL6	0.0023356
PPIL2	0.0023453
INPP5E	0.0023569
MAST2	0.0023669
TPD52	0.0023691
JAK1	0.002375
CPLX1	0.0023783
OLIG3	0.0024025
NR1D1	0.0024217
GDPD1	0.002422
RAC2	0.0024439
DNAJB6	0.0024644
PNPT1	0.0024657
RLN1	0.0025036
DYTN	0.0025091
RAPGEF4	0.0025104
THSD7B	0.0025124
DPEP1	0.0025225
KIAA1211L	0.0025333
ANXA6	0.0025404
PIK3R3	0.0025434
PCNA	0.0025492
CSH1	0.0025496
PREX1	0.0025508
GXYLT1	0.00256
HERC4	0.0025616
GLI1	0.0025732
LRRIQ4	0.0025886
RAB14	0.0025923
SSBP4	0.0025924
HSP90AB1	0.0026117
CSNK1D	0.0026128
ARHGAP9	0.0026139
GOLGB1	0.0026151
ZNF101	0.0026177
LRRC34	0.0026311
MMS22L	0.0026315
SBDS	0.0026395
TMEM237	0.0026423
LRRC31	0.0026472
PUSL1	0.0026588
TADA1	0.0026702
GAS8	0.0026725
TBC1D10B	0.0026776
TSPAN18	0.0026797
ZNF730	0.0026877
ZNF429	0.0026923
DONSON	0.0027017
HCLS1	0.0027207
NPBWR2	0.0027401
FOXE1	0.0027528
SLC2A13	0.0027534
ATG13	0.0027579
SAMD10	0.0027853
C19orf71	0.0028084
CCDC112	0.002815
MRPL38	0.0028183
MRPL24	0.0028213
PSAP	0.0028293
KPNB1	0.0028324
RAPGEFL1	0.0028337
GRIK5	0.0028411
CD200	0.0028817
PFKFB2	0.002882
TYW1	0.0029099
NTNG1	0.0029128
ACACA	0.0029269
DNAJC5	0.0029361
TMEM132B	0.0029414
SH2D4B	0.0029458
CD6	0.0029538
SORL1	0.0029594
LIMS1	0.0029752
INHBE	0.0029919
IL1R1	0.0030059
FASLG	0.0030063
CDKN2B	0.0030093
EXOC6B	0.0030097
SDR42E1	0.0030139
CASC3	0.0030173
RTKN2	0.0030259
LOC101928021	0.0030462
MSL1	0.0030547
SOX5	0.0030914
LMX1B	0.0031016
NADK	0.0031074
OR6B3	0.0031086
LCE1E	0.0031155
DEXI	0.0031247
ENO1	0.00313
B3GNT6	0.0031441
MYLPF	0.0031488
FABP5	0.0031938
VCAM1	0.0032085
CFAP77	0.0032092
CAMSAP2	0.0032289
PAN3	0.0032449
ELMO1	0.0032588
PRM3	0.0032673
ZDBF2	0.0032788
BARHL1	0.0032896
ACAP3	0.0032921
AP3B1	0.0033023
DBNDD1	0.0033125
UBE4A	0.0033172
SFXN4	0.0033221
PRR21	0.0033558
SMIM14	0.0033719
BACH2	0.0033727
C1orf54	0.0033783
TMPRSS6	0.0033991
SCAND1	0.0034091
ZNF408	0.0034519
ADORA2B	0.0034616
STAT5B	0.0034674
PSMB7	0.0034749
DDIT3	0.0034757
EPS15L1	0.0034812
EVI5	0.0034841
KPNA3	0.0034879
MAB21L2	0.0035068
PRM2	0.0035096
SIDT2	0.0035193
RPAP1	0.0035269
HDLBP	0.0035278
PXYLP1	0.003537
ZNF268	0.0035426
ILDR2	0.0035544
FAM76B	0.0035582
PRM1	0.0035601
VWA5A	0.0035604
FAM117B	0.0035705
SUPT4H1	0.0035761
ZNF10	0.0035904
C2orf42	0.0035927
PPM1A	0.0036012
KDELC2	0.0036053
OTULINL	0.0036237
ANHX	0.0036434
GHDC	0.0036571
SLCO2A1	0.0036621
WDR73	0.0036919
ABRAXAS2	0.0037447
LHCGR	0.0037545
LCE4A	0.0037793
DDX10	0.0038196
SAE1	0.0038252
PAFAH1B2	0.00385
NR4A2	0.0038718
OR6B2	0.0038954
RIMS3	0.0039148
SH3BP2	0.0039231
MS4A18	0.0039324
CEBPG	0.0039462
SIGLEC6	0.0039922
SULT1C4	0.0039966
CEP57	0.0040025
FBXW2	0.0040055
KLHL32	0.0040121
GLMN	0.0040264
IQSEC1	0.0040386
CENPBD1	0.0040468
CDK8	0.0041065
ZNF891	0.0041152
SIRT1	0.004116
CYHR1	0.0041254
IPP	0.0041779
PEX13	0.0041848
ANKRD44	0.004204
HUNK	0.0042207
C1QTNF2	0.0042442
WDR19	0.0042451
ZSWIM7	0.0042512
CEBPA	0.0042653
LRP1	0.0042727
ZNF134	0.0042923
GRAP	0.0042932
ARHGAP1	0.004296
ACER3	0.004298
CBLC	0.0043107
CLN8	0.004311
FOXH1	0.0043262
ZDHHC20	0.0043349
RSPO1	0.0043667
LGALS9C	0.0043679
POU2F2	0.00438
UBE2J2	0.0043911
ZBTB24	0.0044055
GH2	0.0044185
VGF	0.0044315
KIFC2	0.0044342
APH1A	0.0044345
ZNF688	0.0044411
INPP5A	0.004452
B4GALT4	0.00448
FBXW10	0.0044822
INHBC	0.0045069
UBE2F	0.0045332
ZNF512B	0.0046077
GCC2	0.0046085
HIVEP2	0.0046187
MICAL1	0.0046509
CABLES1	0.0046519
JARID2	0.004669
KRAS	0.0046873
BOLA3	0.0046986
ARMS2	0.0047598
ZIM3	0.0047807
DUSP16	0.0047854
GNPDA1	0.0047892
TSPAN33	0.0047958
RSPH3	0.0048031
PPP4R3B	0.0048039
PAX8	0.0048059
GGT7	0.0048225
PCTP	0.0048252
KIAA1549	0.0048437
EGR2	0.0048538
PRG2	0.0048798
LYRM9	0.0048808
CCDC172	0.0048815
CSF2RB	0.0048853
TRPV1	0.0048915
SLC46A1	0.0048972
LCE1D	0.0048985
CBX6	0.0049085
KLF17	0.0049226
RNF19A	0.0049566
TMEM52	0.0049578
FAM53B	0.004961
SLC35E2A	0.0049825
STUM	0.0049944
ABHD6	0.005
RBPMS	0.0050153
PPP1R16A	0.005023
LIPA	0.0050232
SMPD2	0.0050598
CIART	0.0050723
DNAJB2	0.0050911
HELZ	0.005114
ZNF493	0.0051242
PPP2CA	0.0051357
TMEM86B	0.0051392
SLITRK6	0.0051439
GSS	0.0051598
ATG14	0.0051627
PPP1R3B	0.005166
MPO	0.0051773
GCGR	0.0051917
WIPF2	0.0051929
ZNF140	0.0052109
CD164	0.0052228
ATAD1	0.0052456
CDKN1A	0.0052506
ZNF48	0.0052594
ETFRF1	0.0052664
TCP10L2	0.0052697
C2CD2	0.0052749
TAGLN	0.0052869
SUPT3H	0.0053103
CCDC162P	0.0053589
CLK1	0.005365
PCDH15	0.0053968
CHST10	0.0054006
MUC17	0.0054026
ANKRD33B	0.0054044
NOP53	0.0054144
IFT46	0.0054451
GALC	0.0054836
SLC35E1	0.0054897
LMO7DN	0.0054977
ARPC1B	0.0055016
MRPL58	0.0055018
OR1A1	0.0055175
LMO7	0.0055185
AMOTL1	0.0055307
TMEM69	0.0055685
GATB	0.0055771
ADAR	0.0055888
MUC3A	0.0056063
SGK1	0.0056342
UCKL1	0.0056676
KCTD20	0.0057273
AIRE	0.0057706
DENND1B	0.0057903
MBD6	0.0057972
INPP4B	0.0058314
SELENOF	0.0058328
ISG20L2	0.0058402
GPR39	0.0058729
SMG8	0.0058894
TTC19	0.0058914
LOC101929256	0.0058933
CEACAM16	0.005898
SIRPG	0.0058983
BCL10	0.0059237
CRB3	0.0059334
FAM136A	0.005949
NAB2	0.0060207
MXD1	0.0060251
LOC101928548	0.0060293
ZC3H18	0.0060399
C1QTNF12	0.0060685
CHN1	0.0060893
PLPPR3	0.0061031
LOC390877	0.0061087
MEP1A	0.0061189
ZNF550	0.006148
SMO	0.0061651
CCR2	0.0062082
ZNF365	0.0062751
RABEP1	0.0062826
CNKSR1	0.0062832
OR2V1	0.006288
