GENE	RA
PGA4	1.0641e-05
MBD6	1.0859e-05
HOXA2	1.1148e-05
ASAP1	1.1179e-05
RNASET2	1.1218e-05
PFKL	1.1372e-05
CDK12	1.1495e-05
YPEL3	1.175e-05
MAPK3	1.1897e-05
MFSD6	1.1939e-05
SLAIN2	1.2409e-05
GDPD3	1.269e-05
KIAA1109	1.2777e-05
CYP3A4	1.2822e-05
BORCS8	1.2933e-05
STMN3	1.3128e-05
NR2C2AP	1.3349e-05
AVIL	1.3441e-05
YDJC	1.3572e-05
CCL27	1.4005e-05
MYL6	1.4024e-05
FBXL20	1.4624e-05
ANKRD33B	1.5066e-05
ALDH2	1.599e-05
ATG5	1.6088e-05
NAA25	1.6663e-05
IL11RA	1.6689e-05
PEAK1	1.6765e-05
ARFRP1	1.7069e-05
DENND1C	1.7357e-05
CYP3A43	1.7604e-05
PWP2	1.761e-05
ALS2CR12	1.7765e-05
EPS15L1	1.7835e-05
PRSS48	1.7852e-05
DYDC2	1.8192e-05
PPHLN1	1.8327e-05
SMARCC2	1.834e-05
CD2	1.8573e-05
TCTEX1D2	1.8593e-05
CLNK	1.8769e-05
KIF21B	1.8953e-05
CDCA8	1.9204e-05
FCAMR	1.9816e-05
HIBCH	1.9888e-05
SKP1	1.9902e-05
CACNB4	1.9944e-05
CHRNB2	1.9945e-05
MAT1A	2.0542e-05
PRDM1	2.0595e-05
ZBED8	2.1133e-05
TCF7	2.1663e-05
IL1F10	2.2072e-05
DYDC1	2.2599e-05
C1QTNF6	2.3354e-05
TBX6	2.3543e-05
C1orf137	2.3709e-05
GIN1	2.3798e-05
RFXANK	2.4796e-05
NDUFS1	2.4798e-05
LPAR2	2.5083e-05
IL2RB	2.541e-05
TFF2	2.5423e-05
BOLL	2.598e-05
GMEB2	2.6138e-05
PLCH2	2.6408e-05
MARS2	2.7173e-05
ZBTB38	2.7199e-05
MKRN2OS	2.7486e-05
ZNF146	2.7979e-05
PIGR	2.8185e-05
NCF1	2.8252e-05
FOXO1	2.8479e-05
ZNF594	2.9268e-05
TSEN2	2.9608e-05
LITAF	2.9757e-05
IL24	2.9948e-05
MAPKAPK5	3.011e-05
TSKU	3.1629e-05
TUBB4A	3.2267e-05
ATP8B2	3.2332e-05
PRCC	3.2718e-05
ZNF689	3.3694e-05
PPP4C	3.4495e-05
USP6	3.4564e-05
RAC2	3.5406e-05
HOXA7	3.5768e-05
KCNE1	3.7177e-05
NDUFB3	3.7577e-05
MTF2	3.8362e-05
SLC2A4RG	3.8451e-05
PPIL2	3.938e-05
INAVA	3.9786e-05
LIME1	4.0024e-05
FBXW2	4.0712e-05
SLC37A1	4.0903e-05
SH3D19	4.1263e-05
SON	4.1933e-05
SPINK4	4.2995e-05
GPR1	4.3433e-05
PSMD3	4.5789e-05
INSRR	4.6617e-05
TRAFD1	4.6737e-05
C1orf116	4.706e-05
GALT	4.7386e-05
MYRF	4.8117e-05
IFT46	4.9189e-05
SCIMP	4.9621e-05
SSTR3	5.0457e-05
RASA2	5.1076e-05
SOX18	5.1358e-05
SCGB1C2	5.2014e-05
ZCRB1	5.2229e-05
QTRT1	5.2523e-05
CCDC116	5.282e-05
PEX13	5.3115e-05
CHRNA9	5.3134e-05
SDF2L1	5.429e-05
ADAM23	5.4384e-05
SIRT3	5.5819e-05
ELL2	5.6528e-05
KLF3	5.6892e-05
HELZ2	5.7878e-05
PSMG2	6.0071e-05
JADE2	6.0078e-05
SMIM29	6.1732e-05
PGGHG	6.4346e-05
RTEL1-TNFRSF6B	6.5304e-05
YAF2	6.5799e-05
BANK1	6.6594e-05
FAM126B	6.6726e-05
BACH2	6.7443e-05
AP1M1	6.8201e-05
POU6F1	6.9541e-05
TMED5	7.0189e-05
EEF1B2	7.0692e-05
FNDC11	7.0823e-05
IL36RN	7.1842e-05
CD6	7.2565e-05
CACNA1S	7.3631e-05
TFCP2	7.3839e-05
GMIP	7.5043e-05
NYAP2	7.5641e-05
ZNF764	7.5704e-05
ADAR	7.618e-05
IFITM5	7.7489e-05
ZNF232	7.9885e-05
CRB3	8.0233e-05
FAM133B	8.057e-05
GNG4	8.079e-05
CDKN2AIPNL	8.4009e-05
RFTN2	8.4842e-05
RIC8A	8.6468e-05
TM4SF19	8.6631e-05
ZNF747	8.7097e-05
TRPV3	8.809e-05
KSR1	8.83e-05
ZNF565	8.8438e-05
ODF3	8.8886e-05
MKRN2	9.0557e-05
UHRF1	9.0935e-05
MARS	9.0948e-05
C1orf109	9.3089e-05
INPP5B	9.3165e-05
PSMD13	9.3795e-05
SIM1	9.4663e-05
LGMN	9.8386e-05
TSPAN3	9.9734e-05
HDGF	9.9825e-05
FAM237A	0.00010294
ZBED6	0.00010324
TRAM2	0.00010351
BET1L	0.0001074
EFHC1	0.00010949
EDAR	0.00010992
GPR25	0.00011245
HOXA9	0.00011271
ARID2	0.00011301
PTK6	0.00011378
TRAF6	0.00011665
LDLR	0.00011747
ADAMTSL1	0.00011887
PAX8	0.00011939
OTULIN	0.00011964
CCDC18	0.00011983
PAQR8	0.00011995
OTULINL	0.00012233
ZFP14	0.0001224
SPC24	0.00012253
SIGMAR1	0.0001232
LAX1	0.00012781
ETV7	0.00013211
SNRPE	0.00013385
MRPL24	0.00013501
RIN3	0.00013536
PRPF6	0.00013589
PIWIL4	0.00013734
SLC25A23	0.00013787
ANXA11	0.00013816
C6orf222	0.00014236
BCL7C	0.00014858
CEP76	0.00015103
FCRL3	0.00015173
KTN1	0.00015315
SLC25A41	0.00015327
RRNAD1	0.00015387
PGA5	0.00015491
SEMA6D	0.00015745
ANKH	0.00015958
CDK6	0.0001601
NEMP2	0.00016124
CXCL17	0.00016151
RAB3IL1	0.0001617
UCKL1	0.00016382
OCIAD1	0.0001651
RLN2	0.00017379
SULT1A2	0.0001759
ASCL5	0.00017649
CNFN	0.0001777
RUNX3	0.00017807
YOD1	0.00017881
JDP2	0.00018006
LIPE	0.00018044
SERBP1	0.00018228
SEH1L	0.00018228
CLN3	0.00018285
GHDC	0.00018367
IFITM2	0.00019063
ZSCAN25	0.00019398
FUT4	0.00019872
RTF1	0.0002009
GPSM1	0.00020176
TCEA2	0.00020501
ZNF394	0.00020587
IFITM1	0.00020609
NTRK1	0.00020759
SGF29	0.00020912
TCP11L2	0.00021157
PTPRS	0.00021308
ZC3H11A	0.0002136
ZNF365	0.00021385
JAZF1	0.00021828
BATF	0.00021888
JARID2	0.00021972
SH2D4B	0.00022528
COX7A1	0.00022889
CHMP5	0.00022899
MEGF8	0.00022905
BAG1	0.00023136
NFX1	0.00023165
ALDOA	0.00023502
XPNPEP1	0.00023718
MMS22L	0.00023913
ARHGAP31	0.00024321
PFKFB2	0.00024353
BCAR1	0.00024501
TMEM25	0.00024725
TRAM1L1	0.00024846
INO80D	0.00024962
SULT1A1	0.0002528
CARD9	0.00025741
IFITM3	0.00026177
CNGA1	0.00026385
TPD52	0.00026393
PSTPIP1	0.0002648
STAT5B	0.000266
ITPKA	0.00026643
YPEL1	0.00027111
UPK2	0.00027617
TBPL2	0.00027814
NUPR1	0.00027867
CYP3A5	0.00027986
CFDP1	0.00027991
KIAA1468	0.00028156
SLC29A1	0.00028451
NPIPB8	0.00028524
DNM2	0.00028743
ANKRD49	0.00029444
RPAP1	0.00029495
ZBTB10	0.00029862
PPP2CA	0.00030641
TRAK2	0.00030792
TNFSF9	0.00030868
ATP13A1	0.00031299
RIC1	0.00031567
ZFP82	0.00031812
APOBR	0.00032021
ARRDC5	0.00032035
OIP5	0.00032273
NDUFAF1	0.00032315
SMIM13	0.00032376
IQGAP1	0.00033447
UBE2B	0.00033967
CD226	0.00034248
CCR1	0.00034451
LTK	0.00035193
LGALS9	0.00035261
CNTRL	0.00035355
SKAP2	0.00035358
ARCN1	0.00035612
TFAP2C	0.00035913
TG	0.00036368
DOCK6	0.00036395
TGOLN2	0.00036586
ZNF768	0.00037734
N4BP2	0.00037801
KLLN	0.00038249
PSMD14	0.00038265
PSMB7	0.00038324
PXT1	0.00038718
ASCC3	0.00038796
OR2AE1	0.00039971
TBKBP1	0.00040225
CHRNA10	0.00040459
FBH1	0.00041536
KCNH4	0.00041569
ESRRA	0.00041687
ZNF655	0.0004174
IGSF11	0.00042094
PRR5L	0.00042151
TRMT112	0.00042314
ELMOD3	0.00042854
SNAPC4	0.00042964
ANXA6	0.00043061
JAK1	0.00043309
GTF2IRD1	0.00043382
ENTR1	0.00043555
DONSON	0.00044461
AKAP11	0.00045025
ZNF48	0.00045597
RAB5C	0.00046258
KCNK4	0.00046506
RMI2	0.00046577
RERE	0.00046805
MANEA	0.00046862
ISG20L2	0.00047652
NUSAP1	0.00048646
IL7	0.00049044
DNLZ	0.00050102
LRRC32	0.00051345
C11orf97	0.00051699
ACSS3	0.00051778
ZFP3	0.00051919
HSP90AB1	0.00051966
RGS19	0.00052059
RTKN2	0.00052167
CATSPERZ	0.00052441
SPEF1	0.00052641
GAK	0.0005295
IL20	0.00053017
CTF1	0.00053296
SEPT1	0.00053322
CDKL3	0.00053489
UNK	0.00053683
SAMD10	0.00054211
ZNF789	0.00054573
PDIK1L	0.00055019
ZNF512B	0.0005539
IL36B	0.00055856
GPR148	0.00055864
STAM2	0.00056487
CAMSAP2	0.00056526
CPSF4	0.00056791
RBM48	0.00056937
ZNF771	0.00057082
FAM200A	0.0005716
TMEM225B	0.00057661
PPDPF	0.0005817
ZKSCAN5	0.00058224
OLIG3	0.00058373
ZNF774	0.00059201
PPP1R3B	0.00059222
DR1	0.00059536
CCDC112	0.00060225
UBXN7	0.00060911
CLIC4	0.00061158
FAM57B	0.00061994
SESN1	0.00062104
SEC16B	0.00062399
LKAAEAR1	0.00062513
TRIM63	0.00064542
SAR1B	0.00066184
CD2BP2	0.00066592
SEC11A	0.00066728
MYLPF	0.00067117
CSRNP2	0.00067204
SEC16A	0.00067245
CTRB1	0.00067953
GJC3	0.00067981
RAG1	0.000681
SMARCE1	0.00068429
TRIM4	0.00069154
TBC1D10B	0.00069634
MRPS31	0.00069829
TMEM40	0.00069894
TMEM151B	0.00070301
C1orf146	0.00070434
ARID3C	0.00070491
SLCO4C1	0.00072152
PNPLA1	0.00072542
GH2	0.00073135
RAD51B	0.00073462
ZNF592	0.00074957
ATP5MF	0.00076176
RETSAT	0.00076684
EXOC2	0.00078103
ACER3	0.00078581
LMNB1	0.00078888
PRR19	0.00079045
CAPNS1	0.00079129
PAFAH1B3	0.00079399
TMEM145	0.00079634
GXYLT1	0.0008067
CTRB2	0.00080682
TMEM230	0.00080709
CLLU1OS	0.00080836
GH1	0.00081071
TMEM39A	0.00081949
LRBA	0.00082056
TFF3	0.00082094
DAZAP2	0.00082218
TMEM248	0.0008249
KPNB1	0.00082743
CABLES1	0.00083377
LRRC25	0.00083542
GPR137	0.00083761
CARD11	0.00083853
KANK2	0.00084128
PGGT1B	0.00084145
ZNF101	0.00084186
GFRA4	0.00084442
CD247	0.00084831
SLC2A9	0.00085137
NEK6	0.0008558
MDH2	0.00085952
CHD7	0.00087103
TMEM170A	0.000884
EXD1	0.00088423
POU2F1	0.00088767
FAM160A1	0.00088834
NPBWR2	0.00088959
C2CD6	0.00088995
FAM110D	0.00089493
OPRL1	0.00090853
C1QTNF2	0.00091461
MTMR3	0.00092098
ARHGEF26	0.00093272
CSHL1	0.0009513
CEP19	0.00095916
ZNF217	0.00096317
LINC02397	0.00097306
GPX3	0.00097689
ISYNA1	0.00097727
RRAD	0.00098172
DAGLA	0.00098393
RABEP1	0.00099394
SF3A3	0.00099506
CEBPA	0.0010163
FAM96B	0.001023
PIGN	0.001025
ATAD1	0.0010482
CCRL2	0.0010491
SLC35B2	0.0010586
TNFRSF11A	0.0010617
CSH1	0.001064
KRT222	0.0010742
HSD17B2	0.0010748
ATG14	0.0010785
TBX21	0.0010825
STAC2	0.0010826
GDF15	0.0010974
MIER1	0.0011021
GSK3A	0.0011054
PDP2	0.0011329
ARMS2	0.0011345
SSBP4	0.0011456
SLC9B2	0.0011584
KRT24	0.0011674
HSPE1-MOB4	0.0011744
TYRO3	0.0011786
SLCO6A1	0.0011864
AMER3	0.0011878
CCR2	0.0011924
B3GNT2	0.0011991
CEACAM1	0.0012052
PTCD1	0.0012082
ATP5MF-PTCD1	0.0012154
CENPB	0.0012384
IL12A	0.0012494
ADAM33	0.0012495
SLC9B1	0.0012535
SH3BP2	0.0012585
RAB14	0.0012736
STYXL1	0.0012781
POTEJ	0.001286
C19orf71	0.0012966
CAND1	0.0012983
ZNF526	0.0012991
HORMAD2	0.0013201
DEDD2	0.0013381
SMIM24	0.0013477
PRR29	0.0013484
ERVFRD-1	0.0013514
SMARCA4	0.0013546
SMAD3	0.0013659
ARMC2	0.0013669
CCR3	0.0013721
LCE2C	0.0013748
TCTE1	0.0013782
TTC36	0.0013915
CCR5	0.0013938
CHST10	0.0014074
UPK1B	0.0014087
DOHH	0.001411
CREB5	0.0014235
ANGPTL8	0.001429
SCN4A	0.0014292
FAM117B	0.001431
SMAGP	0.0014499
SLC36A4	0.0014502
CA7	0.0014997
CCR7	0.0015094
FOXR1	0.0015131
DGKQ	0.001517
NAB2	0.001529
STUM	0.0015572
HOXA10	0.0015752
MYO1A	0.0015781
TRPV1	0.0016061
ACKR4	0.0016237
DYTN	0.001627
TMEM120A	0.0016424
ZNF518B	0.0016427
ZNF593	0.0016514
CCDC88B	0.0016563
KLHL32	0.0016747
EXOC6B	0.0016793
BAD	0.0016797
PIK3R3	0.0016841
BUD31	0.0017095
ZBTB21	0.0017143
TGFBR3	0.0017159
PCNA	0.0017231
TMEM175	0.0017461
LRRIQ4	0.0017489
STRADB	0.0017557
SOX5	0.001769
ART5	0.0017699
KPNA3	0.0017819
ASPA	0.0018002
UBA5	0.0018023
ZDBF2	0.001807
SLC26A1	0.0018247
FAM76B	0.0018283
ELL	0.0018397
TLR10	0.0018518
ATP6V0A4	0.0018529
PLCB3	0.0018677
DNMT1	0.0018719
PPM1A	0.0018767
TBR1	0.0018855
CEP57L1	0.0018918
LMX1B	0.0018972
B4GALT4	0.0018989
LRRC31	0.0019017
C11orf74	0.0019039
PDAP1	0.001906
GLMN	0.0019097
TMEM237	0.0019188
CDKN2B	0.0019228
RPS6KA4	0.001936
LRRC34	0.0019501
RBM47	0.001956
MOB4	0.0019671
LCE4A	0.0019672
H3F3B	0.0019738
KCTD20	0.0019913
OCIAD2	0.0019976
RAPGEFL1	0.0020033
ITGAL	0.0020165
TNIP2	0.0020177
ABHD6	0.0020212
PLAC9	0.0020225
ICAM2	0.0020343
SNX13	0.0020586
TMPRSS6	0.0020631
POMC	0.0020655
ARPC1A	0.0021135
CD5L	0.0021137
ANKRD66	0.0021177
CCDC138	0.0021303
MSL1	0.0021426
CD79B	0.002148
HSPBP1	0.0021483
MEP1A	0.0021536
TTC19	0.002168
ARPC1B	0.0021779
CPLX1	0.0021798
ENO1	0.0021862
STAT5A	0.0021863
NFKBIE	0.0021869
NADK	0.0021916
EVI5	0.0021952
GCC2	0.0022115
PLEKHA1	0.0022132
GFRAL	0.0022198
CSH2	0.00223
LCE2B	0.0022472
VDAC1	0.0022521
LCE2D	0.0022541
BCL10	0.0022543
KRT25	0.0022545
MEX3B	0.0022607
GLI1	0.0022667
TMEM241	0.0022697
MRE11	0.0022736
MPO	0.0022736
YPEL5	0.0022789
DCTPP1	0.0022816
RPL19	0.0022922
RFX4	0.0023171
TMEM213	0.0023244
C1orf68	0.0023291
MCM3	0.0023305
NRROS	0.002332
CBLB	0.0023389
IL36A	0.0023587
HMGCLL1	0.0023761
TMEM9	0.0024045
CRABP2	0.0024067
DCPS	0.0024088
LCE2A	0.0024289
FIG4	0.0024459
TRAPPC10	0.0024556
FBXL19	0.0024674
THEMIS	0.0024752
OR6B3	0.0024758
CDKN2A	0.0024843
SLC35D1	0.0024856
FAM45A	0.0025126
EGR2	0.0025282
LINGO1	0.0025677
ZNF493	0.002577
CHST6	0.0025776
HAUS4	0.0026038
C7orf66	0.0026151
ZNF891	0.0026199
MICAL1	0.0026213
PPIL6	0.0026309
P4HA2	0.0026491
GNB1	0.0026525
AQP10	0.0026595
ZNF429	0.0026862
POMGNT1	0.002701
MAST2	0.0027039
NIF3L1	0.0027202
ACOX2	0.0027277
CD48	0.0027293
CEACAM16	0.0027346
KAT2A	0.0027375
CASC3	0.0027537
LETMD1	0.002765
AMOTL1	0.0027774
PEAR1	0.0027788
ADO	0.0027946
PGAP1	0.0028086
SFXN4	0.0028131
RNF14	0.0028343
ZBTB43	0.0028584
NEDD9	0.0028758
ZNF140	0.0028806
NDFIP1	0.0028819
KCNV1	0.0028852
RAG2	0.0028999
KCTD2	0.0029081
CEP57	0.0029471
KIAA1211L	0.0029515
SDR42E1	0.002957
HARBI1	0.0029609
SLC30A2	0.0029638
STAT6	0.0029846
FAM53B	0.0029896
WIPF2	0.0030011
CES3	0.0030115
PPP1R14B	0.0030598
COL5A3	0.0030651
CH25H	0.0030824
GRK5	0.0031217
TYW1	0.0031504
C2CD2	0.0031655
RPAP2	0.0031669
TIA1	0.0031685
TRIM56	0.0031777
SLC35E2A	0.0031879
RBM23	0.0032016
HERC4	0.0032108
AJUBA	0.0032223
RANBP2	0.0032348
NPIPB6	0.0032402
AQP7	0.0032417
GFI1	0.0032454
PRM2	0.0032513
ZSWIM7	0.0032586
EFNA3	0.0032633
PRR11	0.0032776
NAE1	0.0032819
CASC1	0.0032857
POU2F2	0.0032915
MOXD1	0.0033059
TAL1	0.0033126
LIMS1	0.0033163
C1orf52	0.0033171
TMEM132B	0.0033263
NUP98	0.0033343
IQSEC1	0.0033447
C20orf27	0.0033557
ATG13	0.0033588
CD164	0.0033604
PXYLP1	0.0033612
SLC43A3	0.0034081
JUND	0.0034125
ACSS2	0.0034286
ADORA2B	0.0034775
ATP5MG	0.003498
GLRX	0.0035483
NEMP1	0.0035538
ANHX	0.0035644
PPIL3	0.0035656
MFSD12	0.0035749
PPP4R3B	0.0035908
TSPAN1	0.0036179
FCER2	0.0036337
ZAP70	0.0036354
C1QTNF12	0.0036459
WBP2	0.0036546
NPTXR	0.0036796
PRMT5	0.0036817
KDM7A	0.0036959
ZNF574	0.0037014
CYYR1-AS1	0.0037155
LTF	0.003724
CNKSR1	0.0037411
FKBP2	0.0037507
PPP6R1	0.003751
PTGFRN	0.0037796
ATP5PD	0.0037822
ZNF10	0.003796
ZNF268	0.003796
TMEM86B	0.0038012
PCCB	0.0038048
SMPD2	0.0038073
ZBTB24	0.0038092
DCAF5	0.0038126
SMG8	0.0038159
PRAG1	0.0038266
MAB21L2	0.0038318
HSPB9	0.0038356
RIMS3	0.003842
CABCOCO1	0.0038563
SDF4	0.0038567
IDUA	0.0038574
LGR5	0.0038773
DNASE1L3	0.0038837
BCL3	0.0038856
ACAD11	0.0039026
TNFRSF4	0.0039055
PLA2G7	0.0039313
ZNF84	0.003965
TMEM69	0.0039772
AAGAB	0.0039805
WDR73	0.0039861
VWCE	0.003998
N4BP1	0.0040039
TAGLN	0.0040149
PRM3	0.0040375
CHERP	0.0040394
GPR83	0.0040701
SPATA22	0.0040728
MESD	0.0040795
RPS7	0.0040964
HIVEP2	0.0040983
LURAP1	0.0041141
CSRP2	0.004153
TEKT4	0.0041536
RNF41	0.0041651
DDX10	0.0041741
SCAF11	0.0041764
UBE2J2	0.0041811
PNPT1	0.0041833
LPO	0.0041836
FAM69A	0.0041877
C3orf30	0.0042226
MRPL58	0.0042431
MRPL38	0.0042615
GOLGB1	0.0042787
UBAP2L	0.0043158
TOX	0.0043293
GAS8	0.0043296
SETSIP	0.004334
C14orf93	0.0043546
CDKN1A	0.0043714
SCAND1	0.0043824
PELP1	0.0043878
