GENE	RA
STYXL1	0.0012971
IQGAP1	0.0012987
TSEN2	0.0013063
CDKL3	0.0013191
SMCO4	0.0013295
NLRP13	0.0013339
PXYLP1	0.0013389
GPSM1	0.0013468
THSD7B	0.001359
CD6	0.0013599
GHDC	0.0013632
CYP3A43	0.0013653
MED26	0.0013669
ELMO1	0.0013741
GPR25	0.0013814
ACTRT3	0.0013894
NADK	0.0013897
IFNA8	0.0013909
ZNF774	0.0013972
RAD51B	0.001402
TMEM120A	0.0014021
CBLB	0.0014485
ADAM23	0.0014525
GPR148	0.0014701
C6orf99	0.0015014
JDP2	0.0015021
UBXN7	0.0015033
RAB3IL1	0.0015069
TM4SF19	0.0015106
MKS1	0.0015126
LIN37	0.0015157
ZNF530	0.0015385
KRT222	0.001549
FAM160A1	0.0015518
EEF1AKMT2	0.0015691
SEC11A	0.0016111
SKI	0.001616
TMEM213	0.0016202
SCNN1D	0.0016219
XPNPEP1	0.001642
SLC43A3	0.0016447
NAT16	0.0016511
TMEM248	0.0016782
N4BP2	0.0016822
MYNN	0.0017162
CAPNS2	0.0017168
TSKU	0.0017489
NIF3L1	0.0017614
PAFAH1B3	0.0017624
CDKN2AIPNL	0.0017638
PELP1	0.0017769
DHX58	0.0017813
EHD2	0.0017813
DCST1	0.0017959
PRM3	0.0017987
ERVFRD-1	0.001799
PAPOLG	0.0018214
CALML6	0.0018372
SSTR3	0.0018414
ACSS2	0.0018777
CRIP2	0.001889
KIT	0.0019001
UBE2B	0.0019135
TUBB4A	0.0019418
DYTN	0.001947
ETS1	0.0019548
BCL2L11	0.0019554
NFX1	0.0019562
IL1F10	0.0019822
MARCH9	0.0019871
SLC12A5	0.0019914
TMEM52	0.0020064
PTPRN	0.0020117
TMEM237	0.0020363
TMEM9	0.0020401
C1orf54	0.002049
ZBTB7B	0.0020504
DCAF5	0.0020567
LMNB1	0.0020611
RAB5C	0.0020652
BUD31	0.0020739
APBA3	0.0020851
ATP13A1	0.0020859
CEACAM8	0.0020859
SLC2A13	0.0020909
CD5L	0.0021254
PBX1	0.0021278
CNGA1	0.002129
PBX4	0.0021385
ADAM15	0.0021386
NFE4	0.0021472
EDAR	0.0022142
PRPF6	0.0022238
GSK3A	0.0022261
GRAP	0.0022384
UBE2J2	0.00224
MRPL38	0.0022548
FCMR	0.0022787
CCR1	0.0022844
ANXA11	0.0023233
EFHC1	0.0023301
ANP32E	0.002351
FABP5	0.0023645
KLHL32	0.0023904
CCNI2	0.0023923
GAS8	0.0024272
RBM43	0.0024588
MTRNR2L8	0.0025279
RAB13	0.0025418
SPATA22	0.0025456
CSHL1	0.0025554
ZNF135	0.0025629
ASPA	0.0026
MIER1	0.0026418
KLRD1	0.0026455
ZNF730	0.00267
MMS22L	0.0026841
PPP6R1	0.002702
LGALS9	0.0027146
ZNF429	0.0027183
RARG	0.0027293
IL24	0.0027314
TMEM230	0.0027341
KAT2A	0.002745
UPK1B	0.0027481
PSMB7	0.0027525
C19orf71	0.0027789
BBC3	0.0028102
SMG8	0.0028235
PLOD1	0.0028457
CSNK1D	0.0028464
LCE1F	0.0028594
UBE4A	0.0028599
ZNF526	0.0028641
VEGFB	0.0028683
ZNF574	0.0028709
PCCB	0.0028724
IL1RN	0.00288
HSPB9	0.0028984
TSPAN3	0.0029026
TRAPPC6A	0.0029175
TERT	0.0029259
MAST2	0.0029313
ZNF891	0.0029482
ZNF518B	0.0029748
PNPT1	0.0029802
CD101	0.0030259
POU2F2	0.0030359
MSL1	0.0030663
KPNB1	0.0030885
PPIL3	0.0031445
ANHX	0.0031563
INO80D	0.0031634
GDPD1	0.003176
TBX21	0.0031804
FLI1	0.0031834
TMEM175	0.0031917
TOX	0.0032174
SGK1	0.00322
DENND1B	0.0032441
PSMD5	0.0032453
BIK	0.0033174
CMTM6	0.0033249
PAFAH1B2	0.0033367
ATP5MG	0.0033629
FIG4	0.0033766
EVI5	0.0033832
UBE2F	0.0033852
RBPMS	0.0033857
RAC2	0.0033928
OR1A1	0.0033995
ILDR2	0.0034265
CASC3	0.0034301
PIK3R3	0.0034478
RAPGEF4	0.0034551
ZNF10	0.0034902
HERC4	0.0034921
PPP1R1B	0.0035479
AP3B1	0.0035707
DDX10	0.0035783
DONSON	0.0035816
PTGFRN	0.0035892
THEMIS	0.0035894
KIAA1211L	0.003602
C2orf42	0.0036451
GCGR	0.0036854
SAMD10	0.0036874
AJUBA	0.0036897
ZNF689	0.0037133
SLITRK6	0.0037236
MS4A18	0.0037406
ACAP3	0.0037465
CSF2RB	0.0037606
RAPGEFL1	0.0037934
TMEM225B	0.0038071
RRAD	0.0038714
SIRT1	0.0038722
FAM96B	0.0038881
ACKR4	0.0039187
SNRPE	0.0039655
TBKBP1	0.0039972
CBLC	0.0040073
DCTN2	0.0040246
UHRF1	0.0040516
ZFP3	0.0040627
ATP6V0A4	0.0040634
RIMBP3B	0.0040646
FOXH1	0.0041013
MANEA	0.0041085
INPP4B	0.0041094
ZNF268	0.0041102
OLIG3	0.0041369
VGF	0.0041391
ZDHHC20	0.0041618
ADORA2B	0.0041719
CHN1	0.0041721
OPRL1	0.0041794
PRMT6	0.0041834
GOLGB1	0.0041847
LIMS1	0.0041887
OR2V2	0.0041906
LCE4A	0.0041956
PPIL6	0.004211
CA14	0.0042117
BRSK1	0.0042145
TOR1B	0.0042966
ENTR1	0.0043271
ABCG4	0.004342
CYP3A5	0.0043485
SCAND1	0.0043713
BLOC1S3	0.0043764
KIFC2	0.0043903
EXOC6B	0.0044239
MFSD12	0.0044297
SFPQ	0.0044529
ZBED6	0.0044784
PIP4K2C	0.0044828
ARRB2	0.0044999
FAM76B	0.0045255
DNAJB2	0.0045285
OTULINL	0.0045631
IKZF3	0.0045829
IPP	0.0045865
DEDD2	0.0045872
TCF21	0.0046246
TRIM63	0.0046317
PLIN3	0.0046363
SIDT2	0.0046734
ILDR1	0.0046916
RRAS2	0.0046922
JAK1	0.0047052
CISD2	0.0047208
ALDH8A1	0.0047587
STAT5B	0.004778
TNIP2	0.0047861
ARCN1	0.004837
GPR39	0.0048434
RPS6KA4	0.0048487
FAM196B	0.0048561
KCMF1	0.0048759
MYH15	0.0048804
PYROXD1	0.0049012
SOX5	0.004904
TMEM69	0.0049042
C1orf68	0.004913
ACSS3	0.0049252
TRMT112	0.0049351
CIITA	0.004968
TRIM16L	0.0049841
SMG9	0.0050037
ZSCAN25	0.0050271
PSG3	0.0050359
NINJ1	0.0050564
TOR1A	0.0050823
BOLA3	0.005088
FAM107A	0.005128
SERTAD3	0.0051504
KDM2B	0.0051597
GPX4	0.0051799
TBRG4	0.0051874
ACACA	0.0052076
MEP1A	0.0052631
MFSD3	0.0053373
CDK8	0.005363
LYRM9	0.0053976
SORL1	0.0054071
UBE2E1	0.0054112
RIOK3	0.0054114
CPLX1	0.0054126
FBXW10	0.0054136
COX11	0.0054467
ANKH	0.005448
ACER3	0.0054642
RAP1A	0.0054702
GLMN	0.0054706
LCN2	0.005471
RECQL4	0.0054716
MEX3A	0.0054775
SLC9B2	0.0054894
TNFRSF18	0.0055083
WDR19	0.0055248
HOXA10	0.0055525
RIMS3	0.0055531
SLC27A6	0.0055774
ISM1	0.0056063
GPR183	0.0056064
CAMSAP2	0.0056413
PRAG1	0.0056504
PXDC1	0.0056526
PTPRF	0.0056589
ATG13	0.0056731
KIAA1468	0.0056795
HAUS4	0.0056865
OXA1L	0.0057229
JAGN1	0.0057579
FAM133B	0.005768
SLC30A10	0.0057723
CYBA	0.0058207
C19orf66	0.0058244
FAM83A	0.0058434
MX1	0.0058776
DUXA	0.0058779
IL12B	0.0059411
TNFRSF10C	0.0059559
OTOP3	0.0059582
TYW1	0.0059832
C1QTNF6	0.0060202
GYS1	0.0060304
GATB	0.0060491
STAT6	0.0061279
FTSJ3	0.0061313
MYL6B	0.0061607
TMEM101	0.0061706
PRM2	0.0061813
NPIPB8	0.0061836
CD7	0.0062167
DGKQ	0.0062176
EPS15L1	0.0062368
TMEM131	0.006269
CEP57	0.0062938
RMI2	0.0063128
SFXN4	0.0063239
CYHR1	0.0063902
MUC12	0.0064797
PREX1	0.0065013
LYST	0.0065205
DNAJC2	0.0065272
PUSL1	0.0065361
TAGLN	0.0065534
CD200	0.0066126
GIGYF1	0.0066549
EBPL	0.0066599
LPO	0.0066654
SCLY	0.006668
C1orf52	0.0066978
UQCRH	0.0067143
NCOR1	0.006723
SLF1	0.0067522
AMBRA1	0.0067523
LRRC34	0.0067847
MEGF6	0.0068018
SERBP1	0.0068019
ZNF697	0.0068095
SLC25A20	0.0068149
PPP4R3B	0.0068229
MOXD1	0.0068348
BCL3	0.0068348
MANBA	0.0068681
XKR6	0.0068722
SUPT3H	0.0068849
CCR5	0.0068938
ZBTB20	0.0069104
TMEM86B	0.0069108
PSENEN	0.0069292
FOXI3	0.0069321
ZNF101	0.0069409
FAM117B	0.0069426
RBM12	0.0069503
L3MBTL4	0.0069568
B3GNT2	0.0070045
CDC6	0.0070047
SAE1	0.0070164
CIART	0.0070301
LMO7DN	0.0070309
GPBP1L1	0.0070465
LMO7	0.0070531
MUC16	0.0070597
CHAC1	0.0071075
RTEL1	0.0071328
MRGPRX2	0.0071335
CABLES1	0.0071449
ZNF493	0.0071619
CNFN	0.0071628
SYT16	0.007169
KLHL5	0.0071968
SMARCD2	0.0072222
HELZ	0.0072308
HUNK	0.007261
TRAF3IP2	0.0072617
DSN1	0.0072655
GAS2	0.0073
SUCNR1	0.0073047
LDLR	0.0073084
RNF6	0.0073602
TRMO	0.007402
C6orf222	0.0074034
IRGC	0.007443
CFAP36	0.0074563
ATP10A	0.00746
LRRC41	0.007465
EFCAB7	0.0075091
PSMC5	0.0075118
CCDC171	0.0075156
ATG14	0.0075195
RD3	0.0075478
WDR73	0.0075707
MCRIP1	0.0075804
MICAL1	0.0076086
COX5B	0.0076489
ZNF3	0.007659
TSPOAP1	0.0076631
POP7	0.0077201
ACTL7A	0.0077293
RAB19	0.0077566
EFNA4	0.0077614
CD3G	0.007771
ZNF786	0.0077714
MXD1	0.0078373
SYNE3	0.007843
SSC5D	0.0078668
CTRB2	0.0078949
SECTM1	0.0079151
PPM1A	0.0079544
SSBP4	0.007962
IL12A	0.0079653
PPFIA1	0.0079894
TRIM4	0.0080023
FUT3	0.0080303
GCC2	0.0080475
EREG	0.0080646
SARNP	0.0081192
RIPOR2	0.0081382
CYB5D1	0.0081765
ZNF425	0.0081815
DUSP16	0.0081836
RARA	0.0082095
NFS1	0.008211
CRYZL1	0.0082132
ROBO2	0.0082191
ANAPC16	0.0082282
ST13	0.008233
GPR33	0.00829
PCDHGC4	0.0083008
LSM12	0.0083028
ZNF512B	0.0083289
N4BP1	0.0083527
NARS2	0.008353
LARS	0.0083604
GPR1	0.0083676
MYL2	0.0084586
PPP1R16A	0.0084679
HIVEP2	0.0084953
MRPL54	0.0084996
ELOC	0.0085053
C9orf78	0.0085219
TSGA10IP	0.008542
SPON1	0.008552
TMEM132B	0.0085839
GTPBP8	0.0086105
SPTSSB	0.0086119
SPATA5	0.0086256
AVPR1A	0.008632
TMEM14A	0.0086354
IZUMO1R	0.0086359
CXCL6	0.0087035
CTRL	0.0087185
FUT4	0.0087353
CD164	0.0087694
ZBTB38	0.0087787
SMARCC2	0.0088177
HARBI1	0.0088264
MICAL3	0.0088688
HBG2	0.0088987
TRIAP1	0.0089211
SELENOF	0.0089511
TMSB10	0.0089705
SPAG4	0.0089842
SHPK	0.0090011
MLH3	0.0090463
GLYR1	0.0090555
EME2	0.0090658
ATRX	0.0091061
CCDC138	0.0091357
IGSF11	0.0091452
C9orf163	0.0091581
ELMO2	0.0091764
PHF20	0.0091976
LCE3A	0.0092416
IER3IP1	0.0092579
AMOTL1	0.0092952
EIF2B2	0.0092972
SPSB3	0.0093111
RBBP8	0.0093425
CASC1	0.0093626
NABP2	0.0093819
LGMN	0.0094088
RECQL	0.0094367
LPAR6	0.0094389
SLC25A23	0.0094442
PLAC8L1	0.009462
AK9	0.0094757
PDAP1	0.0094883
CLINT1	0.0094979
CENPV	0.0095257
PPIL4	0.0095298
CA7	0.0095304
VWA5A	0.0095309
TSPAN33	0.0095368
NKPD1	0.0095433
PCTP	0.0095514
PRPF18	0.00962
CFAP77	0.0096397
ZSWIM7	0.0096593
CCR2	0.0096718
SHMT1	0.0096746
ABHD6	0.0096954
POGK	0.0097229
TJP3	0.0097566
MPP2	0.0097719
SLC26A5	0.0097798
SLC22A4	0.0097872
SLC25A41	0.0097959
C1orf53	0.0098543
ZNF202	0.0098591
ZBTB24	0.0099328
DAZAP2	0.0099409
BID	0.0099711
C5orf67	0.010004
UBALD1	0.010004
ALYREF	0.010044
TBX18	0.01005
ZNF831	0.010091
ZNF273	0.010116
MOB4	0.010118
SESN1	0.01012
RPL5	0.010154
ITGAL	0.010182
MAN2B2	0.010184
VPS13B	0.010191
PRR11	0.010196
ARHGDIA	0.010227
P2RY12	0.010246
FAM69A	0.010295
PCDH15	0.010341
LCE1E	0.010366
PPM1L	0.010369
HBG1	0.010371
PAX8	0.010374
CSRNP2	0.010376
HS2ST1	0.010393
HACE1	0.010395
SEC16A	0.010395
SLC2A3	0.010398
FLII	0.010425
CLNK	0.01046
TBPL2	0.010467
ANO7	0.010488
TBXT	0.010491
OR1E2	0.010495
TLE3	0.010504
FAM110D	0.010517
USF3	0.010526
PSMB10	0.010543
ORMDL2	0.01056
FAM172A	0.010581
TMEM63C	0.010599
HEATR5A	0.010614
ESRRA	0.010622
IL23R	0.010624
PLCB1	0.010672
ISYNA1	0.010678
CNBD2	0.010695
LRRIQ4	0.010721
TM2D1	0.01073
ZDBF2	0.010738
ZC2HC1A	0.010745
NCAPG2	0.010847
BRI3BP	0.010861
C2orf66	0.010915
LCE2A	0.011005
TBC1D29	0.011013
ZNF532	0.011018
CKLF-CMTM1	0.011043
OTOF	0.011155
LRRC25	0.011155
PRKCG	0.01118
NME3	0.01139
SLC4A11	0.011399
ANKRD11	0.01142
FCER2	0.011426
GOLGA6A	0.011429
ZNF607	0.011445
ARPC1B	0.011459
SLC16A3	0.011462
KPNA3	0.011465
ZNF550	0.011472
PTPRS	0.0115
ZNF665	0.011556
CALCA	0.011573
CGNL1	0.01159
GGT7	0.011615
GALC	0.011653
CPNE1	0.01166
IRF8	0.011661
PRIMPOL	0.011701
EDC4	0.011715
ZSCAN1	0.011749
HOXA3	0.011769
PPP1R27	0.011799
SEMA3A	0.01182
PCSK7	0.011847
LIME1	0.011848
ABRAXAS2	0.011854
ZNF398	0.011861
MTMR2	0.011872
ZSCAN2	0.011894
DNASE1L3	0.011906
C14orf39	0.011934
SMPD2	0.011945
SPRR2G	0.011954
KLF17	0.011967
IL7	0.012013
MBLAC1	0.012041
NACAD	0.01205
