GENE	RA
TCAP	0.00026676
PLEKHA1	0.00027157
FAM167A	0.00027443
TERT	0.00027879
TCP11L2	0.00028311
NDUFS1	0.00028559
PSTPIP1	0.00029296
ARHGAP31	0.00029406
BAD	0.00029507
IL2RB	0.00029779
INPP1	0.00030216
BAG1	0.00031975
ZFP14	0.00031997
SH3D19	0.00032598
FCRL3	0.0003287
ATP5MF-PTCD1	0.00033537
ATP5MF	0.00033974
PTPRC	0.00034235
RGS19	0.0003554
RNF40	0.00036373
KTN1	0.00036719
PAFAH1B3	0.00036998
CDK4	0.00038124
ERP29	0.00038314
CSF2RB	0.00038873
CARD9	0.0003974
LAX1	0.00040187
PHKG2	0.00040274
DNLZ	0.00040674
CNTRL	0.00041017
CLN3	0.0004129
CCRL2	0.00042538
KEAP1	0.00043336
FAM200A	0.00045414
NAT16	0.00045778
RPL41	0.00046333
NFATC2IP	0.00046637
PSMD14	0.00047599
GNB1	0.00047737
CEACAM8	0.00047959
ARHGEF26	0.00048728
SOCS1	0.00048747
HORMAD2	0.00049112
ZFP82	0.0005007
WBP2	0.00050099
SLC2A9	0.00050512
HES5	0.00051471
RTF1	0.00051512
RERE	0.00051547
CA14	0.00051824
LITAF	0.00052007
TRIM47	0.00053903
CFDP1	0.00054364
PTCD1	0.00054586
CDC37	0.00054822
PPP1R1B	0.00055327
SLC9B1	0.00056196
EXD1	0.0005694
ZNF592	0.00058784
TMEM170A	0.0005925
SIGLEC6	0.00060046
AVIL	0.00061346
GART	0.00061486
DR1	0.00062462
C5	0.00062499
NADK	0.0006251
PIGN	0.0006301
ANKRD49	0.00063011
ACAD11	0.00063843
IL1R1	0.00064578
GFI1	0.00065271
SMAD3	0.00065471
MYL6	0.00065649
ULBP3	0.00065785
ZBED6	0.00066082
SMIM13	0.0006628
TRIM65	0.00066517
MRPS31	0.00067054
SNX13	0.00067386
TMEM151B	0.00067593
CPSF4	0.00067697
NUSAP1	0.00068448
NFE4	0.00069052
RAB14	0.00069867
CCDC88B	0.0007078
AMER3	0.00071413
SLTM	0.00071542
SSTR3	0.00071691
ADAM15	0.00072654
TMEM213	0.00072958
TMEM145	0.00073379
MEGF8	0.0007512
CHRNA9	0.00076137
CD6	0.00076625
IQGAP1	0.00077317
FGF3	0.0007796
PPHLN1	0.00078087
ABCC12	0.00078375
ZBTB7B	0.00079677
RIC1	0.00080379
SPATA22	0.00080797
SHMT2	0.00080936
FEN1	0.00082787
KLF13	0.0008283
PLCB3	0.00082936
AARS2	0.00084392
GMIP	0.00084442
BIK	0.00085544
TM4SF19	0.0008648
CPNE7	0.00087046
SMCO4	0.00087337
CD79B	0.00087385
FAM126B	0.00088672
CASP10	0.00088843
TSPOAP1	0.00090747
RBM23	0.00090859
TNFRSF14	0.0009086
SGF29	0.00091708
ASCC3	0.00091717
SON	0.00091905
KLF2	0.0009233
CAPSL	0.00092476
TRAM2	0.00093443
ICAM1	0.00093605
HSPA6	0.00094124
PCYT1A	0.00094199
ZKSCAN5	0.00095584
TSKU	0.00096777
GAK	0.0009689
CHD7	0.00097332
MTMR3	0.00097662
MDH2	0.00098132
PAPOLG	0.0010045
GPR18	0.0010239
KDM7A	0.0010262
GFRAL	0.0010287
ZNF891	0.0010332
SMIM29	0.0010422
TMEM52	0.0010517
PADI3	0.001057
C2CD6	0.0010589
FAM45A	0.0010614
ARID2	0.0010651
NDUFAF1	0.0010675
ZNF629	0.0010778
ZIK1	0.0010845
OPRL1	0.0010887
SNAPC4	0.0010893
CBLB	0.0010925
CALML6	0.0010946
NIF3L1	0.001106
ZNF438	0.0011079
RAB19	0.0011118
SULT1A1	0.0011173
HSPBP1	0.0011186
RAD51B	0.001119
ARHGAP1	0.0011294
ODF3	0.0011429
FUT3	0.0011494
DONSON	0.0011504
NRROS	0.0011505
TCEA2	0.001155
CIART	0.0011965
SLC25A41	0.0012034
PSENEN	0.001204
GLI1	0.0012046
ELMO1	0.0012104
YRDC	0.0012198
CHMP5	0.001222
ZBED8	0.0012344
CDKN2AIPNL	0.0012483
KRT222	0.0012679
SEC11A	0.0012691
OIP5	0.0012711
UBE2J2	0.0012776
LIPE	0.0012826
ZNF789	0.0012892
FAM160A1	0.0012902
ATG5	0.0012939
PROSER3	0.0013021
LRBA	0.001314
LY6E	0.0013141
PXT1	0.0013191
TMEM248	0.0013202
CD226	0.001342
SMG8	0.0013628
NCAN	0.0013674
SIGLEC1	0.0013741
UBXN7	0.0013829
ACTR2	0.0014057
BCL2L11	0.0014202
RARG	0.0014222
SKAP2	0.0014275
PRMT5	0.001429
STAM2	0.0014386
MTF2	0.0014454
NPIPB6	0.001447
PBX1	0.0014485
FCAMR	0.0014557
MED26	0.0014785
MRE11	0.0014945
RAB5C	0.0015119
SUCNR1	0.0015183
INPP5A	0.0015197
PEX13	0.0015243
JDP2	0.0015425
DCAF5	0.0015448
ZNF135	0.0015483
CCR3	0.0015518
UBA5	0.0015529
THSD7B	0.0015632
SLU7	0.0015687
FOXO1	0.0015811
EPHA10	0.0015842
KLRD1	0.0015921
SCAF11	0.0016043
RASA2	0.0016105
ARHGEF25	0.0016117
PCCB	0.0016226
KIT	0.0016446
PSMD5	0.001647
NDUFB3	0.001663
CDKL3	0.0017038
PIGR	0.0017213
ACSS2	0.0017301
NFX1	0.0017403
HCLS1	0.0017409
UBE2B	0.0017425
SMARCE1	0.0017674
SLC2A13	0.001778
SPINK4	0.0018052
CYP3A43	0.0018088
EEF1B2	0.0018242
TCF7	0.0018297
SFPQ	0.0018316
XPNPEP1	0.0018383
PXYLP1	0.0018421
MFSD12	0.0018455
HIC2	0.0018492
NABP2	0.0018582
ALDH8A1	0.0018752
ZNF655	0.0018818
NEMP2	0.0018935
EHD2	0.0019215
DNAJC4	0.0019259
C15orf53	0.0019259
CARD11	0.0019339
LMF2	0.0019406
EEF1AKMT2	0.0019502
MIEF2	0.0019507
STYXL1	0.0019549
ZNF774	0.0019737
MMS22L	0.0020289
LGR5	0.002048
KLHL32	0.0020608
SMIM14	0.0020806
CD200	0.0020822
CACNA1S	0.0021111
KIFC2	0.0021233
PNPT1	0.002125
ACTRT3	0.0021759
CSF2	0.0021856
DBNDD1	0.0022005
TNFSF9	0.002217
KIF21B	0.0022301
TOR1B	0.0022317
ANP32E	0.0022438
FCMR	0.0022572
LGALS9	0.0022745
ST3GAL4	0.0022801
CCR1	0.0022806
ADAM23	0.002285
SULT1A2	0.0022886
C1orf54	0.0022908
ANHX	0.0023387
ESYT1	0.0023476
GPR148	0.0023586
SLC35D1	0.0023737
CCNI2	0.0023811
FLI1	0.0024081
MS4A18	0.0024256
LYRM9	0.0024269
PELP1	0.002433
TBRG4	0.0024738
EDAR	0.0024783
EXOC6B	0.0024899
N4BP2	0.0025154
RPS3A	0.0025329
TNFRSF18	0.0025439
ZNF518B	0.0025712
ZNF429	0.0026365
ERVFRD-1	0.002659
CPLX1	0.0026652
C9orf16	0.002691
CYP3A5	0.0026947
MIER1	0.0027005
LIMS1	0.0027155
PRPF6	0.0027214
DENND1B	0.002724
ELOC	0.0027314
SLC43A3	0.0027514
DCSTAMP	0.0027626
PTPRN	0.0027636
UBE2F	0.0027648
ZNF394	0.002814
GPSM1	0.0028309
DTX3	0.002839
GSK3A	0.0028452
SAMD10	0.0028457
DYTN	0.0028789
ABCG4	0.0029025
TRMT112	0.0029035
ANXA11	0.0029087
PRKCG	0.0029167
POU2F2	0.0029319
MYNN	0.0029587
PAFAH1B2	0.0029762
CIITA	0.0029866
EVI5	0.0029978
CD101	0.0030036
SEC16B	0.0030047
KDM2B	0.0030542
GCGR	0.0030553
CMTM6	0.0030557
ZDHHC19	0.0030768
CYBA	0.00308
UBE4A	0.0030821
THEMIS	0.0031298
MAST2	0.0031341
TCTEX1D2	0.0031465
SLC12A5	0.0031825
CASC3	0.0031938
GLMN	0.0032246
ATP13A1	0.0032308
ACAP3	0.0032712
SIRT1	0.0032824
HBG1	0.0032957
MANEA	0.0032973
DCST2	0.0033125
DNAJB2	0.0033198
RRAS2	0.0033575
UBE2E1	0.0033978
VMO1	0.0034027
TMEM120A	0.0034218
CHN1	0.0034409
PPIL6	0.0034857
DCTN2	0.0034881
RPS6KA4	0.003489
TSEN2	0.003511
PIK3R3	0.0035246
PLOD1	0.0035292
ACACA	0.0035459
GRAP	0.0035659
C1QTNF6	0.0035663
GDPD1	0.0036074
KPNB1	0.003624
IL12A	0.0036256
STAT6	0.0036538
KAT2A	0.003655
LMNB1	0.0036792
ZNF730	0.0036879
SNRPE	0.0036891
TOX	0.0037129
TSGA10IP	0.0037171
DHX58	0.0037195
C1orf52	0.0037356
SOX5	0.0037791
HERC4	0.0038216
PRR19	0.0038468
MAN2B2	0.0038635
PTPRF	0.003865
DNASE1L3	0.0038707
CD2	0.0038719
INPP4B	0.0038833
SGK1	0.0039481
DGKQ	0.0039536
ZDHHC20	0.0039934
RD3	0.0040027
EPX	0.0040226
OR10G4	0.0040382
H3F3A	0.0040609
MYO1C	0.0040621
AMPD1	0.0040716
MSL1	0.0040795
LDLR	0.0041068
ASPA	0.0041095
ATP5MG	0.0041243
LIN37	0.0041275
GPR39	0.0041352
EPS15L1	0.0041413
SLC30A10	0.0041559
PREX1	0.0041684
PBX4	0.004171
RECQL4	0.0041803
HSPB6	0.004246
AP3B1	0.0042611
TRAPPC6A	0.0042865
TCTE1	0.004315
LONRF2	0.0043318
DDX10	0.004336
ACER3	0.0043486
CDR2L	0.0043712
HSPA12B	0.0043818
VEGFB	0.0044133
CNGA1	0.0044176
DEDD2	0.0044707
OTULINL	0.0045226
GTF3C3	0.0045236
PYROXD1	0.0045673
IPP	0.0045731
FAM196B	0.0045745
ETS1	0.004615
TOR1A	0.0046469
GJC3	0.0046828
PSMC5	0.0046836
TAGLN	0.0047039
ARRB2	0.0047052
CDKN1A	0.0047489
IL12B	0.0047544
SERTAD3	0.0047637
TMEM237	0.0047656
ZSWIM7	0.0047696
PPIL3	0.0048004
SIM1	0.0048234
TMEM63C	0.0048311
STAT5B	0.0048331
FAM76B	0.0048334
KRT24	0.0048449
ZC3H10	0.0048453
BLOC1S3	0.004864
CISD2	0.0048831
DCST1	0.0048917
TIMP1	0.0048938
NPIPB8	0.0049023
AP1M2	0.004939
ZNF473	0.0049465
TSC1	0.0049491
TNFRSF10C	0.0049623
FOXD4L1	0.0050064
GDPD3	0.0050285
GATB	0.0050474
SMARCD2	0.0050736
EFHC1	0.0050943
ILDR1	0.0051136
IRF8	0.0051209
MKS1	0.0051252
ZNF697	0.0051266
RAPGEF4	0.0051676
PDE4C	0.005224
TRIM63	0.0052257
ZNF268	0.0052257
CYHR1	0.0052404
MYH15	0.0052466
ZNF831	0.0052597
TBPL2	0.0052948
TYW1	0.0053242
ZSCAN25	0.0053252
APBA3	0.0053354
ZFP3	0.0053509
WDR19	0.0053788
IL24	0.0054092
RAP1A	0.0054257
PSMB7	0.005457
TMEM9	0.005463
MARCKS	0.0054795
ZNF786	0.0054846
GAS2	0.0055453
NLRP13	0.0055555
CDK8	0.0055611
MICAL1	0.0055663
KIAA1211L	0.0055892
C16orf72	0.0056397
SMIM24	0.0056519
TFAP2C	0.0056802
MEP1A	0.0056826
NFS1	0.0056842
KCMF1	0.0057121
SCN4A	0.005773
CCDC112	0.0057936
PYCR2	0.0058207
SPON1	0.0058306
EPN1	0.0058342
JAK1	0.0058404
MX1	0.005842
CACNG1	0.0058431
CTBP1	0.0058704
HOXA1	0.0059538
SLF1	0.0059786
CPT1C	0.0059866
SUPT3H	0.0059897
LMO7	0.0059994
ZNF10	0.0060228
RNF6	0.0060314
IER3IP1	0.0060342
DUXA	0.0060374
CCDC138	0.0061032
TRIM16L	0.0061262
S1PR2	0.0061516
ATG14	0.0061644
CDC6	0.0061668
MUC16	0.0061732
MPO	0.0061787
PSG3	0.0062096
MPV17L2	0.0062419
SCNN1D	0.0062662
RMI2	0.0062774
ATG13	0.0063308
HELZ	0.0063349
FAM107A	0.0063725
L3MBTL4	0.0063749
TMEM131	0.0063864
FIG4	0.0063865
ENTR1	0.0063993
RAPGEFL1	0.0064438
OXA1L	0.0064509
MEGF6	0.0064991
GPBP1L1	0.0065425
C11orf21	0.0065715
ZBTB24	0.0065874
LCN2	0.0066089
MADCAM1	0.006632
SSC5D	0.006637
MANBA	0.006639
LCAT	0.0066397
HSH2D	0.0066459
TBX21	0.0066737
NME3	0.006688
UQCRH	0.006696
VWA5A	0.0067
AVPR1A	0.0067182
AMBRA1	0.0067588
CD3G	0.0067634
ZC3H7A	0.0068071
ATP8B2	0.0068086
C1orf68	0.0068143
GYS1	0.0068348
SHMT1	0.0068492
ZNF425	0.0068803
SLC35C2	0.0069049
SLC27A6	0.0069212
TBXT	0.0069524
STAT5A	0.0069566
CEP57	0.0069658
CCDC171	0.0069736
GDF7	0.0069965
FAM133B	0.0070206
COX11	0.0070306
MUC12	0.0070455
ERRFI1	0.0070503
HSD11B1L	0.0070634
WDR83	0.0070701
DNMT3L	0.0070753
CLNK	0.0070754
GOLGA8N	0.0071017
KLHL5	0.0071294
GLYR1	0.0071843
CDKN2D	0.0071981
SLC26A5	0.007202
LPO	0.0072497
ASNS	0.0072499
TMEM225B	0.0072543
CAMSAP2	0.0072592
POGK	0.0073167
PPIL4	0.0073227
PTGFRN	0.0073246
GTPBP8	0.0074112
EBPL	0.0074121
MRPL21	0.0074169
ATP10A	0.0074345
NCOR1	0.0074453
RBM43	0.0074469
CBLC	0.0074507
SESN1	0.0074524
TSPAN33	0.0074612
CALM3	0.0074617
ZNF3	0.0074732
ARPC1B	0.0074834
OR2T33	0.0074928
SLC25A20	0.00752
LPAR6	0.0075472
PTTG1	0.0075597
PCDH15	0.0076876
PPP4R3B	0.0076972
SFT2D1	0.0077169
LARS	0.0077468
SMARCC2	0.007758
PHF20	0.0077774
AJUBA	0.0077841
HSPB9	0.0077871
EFCAB7	0.0078054
PPFIA1	0.0078092
LRRC41	0.0078173
SARNP	0.0078208
HBG2	0.0078594
RARA	0.0078788
UBALD1	0.0078834
RIOK3	0.0079417
SIRT3	0.0080077
SLC16A3	0.0080551
C19orf71	0.0080774
CD80	0.0080886
SCLY	0.0081079
PXDC1	0.0081089
GAS8	0.0081316
SLC25A29	0.0081428
ILDR2	0.0081682
RBM12	0.0081716
GATAD1	0.0081734
TCF21	0.0081923
RAC2	0.0082008
CHMP1A	0.0082093
ZBTB20	0.0082283
TMEM69	0.0082723
CNPY4	0.0082774
NR2F2	0.0082891
FCER1G	0.0082958
CFAP36	0.0083856
CNTN4	0.0084032
CD164	0.0084939
CD274	0.0085055
SYNE3	0.0085248
MOB4	0.0085338
FAM110C	0.0085359
BBC3	0.0085634
ZNF134	0.0086238
DHRS7C	0.0086562
ASPRV1	0.0086594
N4BP1	0.0086649
SERTAD1	0.0086914
GALC	0.0087121
ISYNA1	0.0087186
EIF2B2	0.0087226
CLINT1	0.0087378
MYL6B	0.0087392
RBPMS	0.0087474
MRGPRX2	0.0087988
LYST	0.0088459
NINJ1	0.0088554
HSPE1-MOB4	0.0088618
MYBPH	0.0088908
GJB5	0.0088936
IGSF11	0.0089004
AK9	0.0089011
TFF3	0.0089027
PCDHGC3	0.0089109
DNAJB6	0.0089857
RDH16	0.0090193
HARBI1	0.0090198
CSHL1	0.0090227
ELMO2	0.0090738
MPP2	0.0091034
PPM1A	0.0091086
SAE1	0.0091889
PLAC8L1	0.0091895
TMEM132B	0.0092236
ISM1	0.0092639
CDKN1C	0.009266
CENPV	0.0092805
DYRK3	0.009341
GPR33	0.0093502
BIRC8	0.0093897
DNAJC2	0.0093968
ZC2HC1A	0.0094047
HS2ST1	0.0094071
ROBO2	0.0094177
SPATA5	0.0094285
FGL2	0.0094392
NARS2	0.0094443
CH25H	0.0094709
FGFR1OP	0.0094943
XKR6	0.009509
ACSS3	0.0095327
ZNF347	0.009614
GIGYF1	0.0096588
TLE6	0.0096723
PPM1L	0.0096947
SFTPB	0.009701
ARHGDIA	0.0097018
DAZAP2	0.0097635
SSBP4	0.0097688
TMEM14A	0.009794
BROX	0.009833
C9orf78	0.0098437
BRSK1	0.0098561
LSM12	0.009929
ANKH	0.010023
ZNF526	0.010034
ST13	0.010068
VCL	0.010077
CCDC85A	0.010111
HAUS4	0.010127
TP53I13	0.010128
AOC2	0.010155
CTF1	0.010163
BCL3	0.010182
FAM172A	0.010194
PDAP1	0.0102
SLC25A23	0.010211
CSRNP2	0.010273
EFR3B	0.010283
SORL1	0.01029
PRLHR	0.010469
SLC24A5	0.010494
RRM1	0.010537
KCNV1	0.010557
KCNIP1	0.010656
RIPOR2	0.010669
GPX4	0.010679
NPTXR	0.010681
PLIN3	0.010717
SLC22A4	0.010728
WDR73	0.01073
MCRIP1	0.010818
B4GALT7	0.010835
SPTSSB	0.010856
CREB3L2	0.010859
USF3	0.010866
SPRR2G	0.01088
ZNF493	0.010895
ANLN	0.010906
CNBD2	0.010911
FFAR4	0.010954
PRKAA1	0.010985
SMG9	0.010988
TIGIT	0.011025
TUBB4A	0.011043
PCTP	0.011073
RTEL1-TNFRSF6B	0.011084
PAX8	0.011106
PPP1R14A	0.011115
RTEL1	0.011123
RCBTB2	0.01113
MTMR12	0.01115
NEPRO	0.011207
B4GALT1	0.011237
STMN3	0.011252
TBC1D10B	0.011265
TREH	0.011343
C11orf96	0.011359
TPR	0.011406
TM2D1	0.011408
ABHD6	0.011418
VPS13B	0.011452
MLH3	0.011455
TRIM4	0.011478
C1QTNF9	0.011523
ZNF747	0.011563
ZSCAN2	0.011573
REXO4	0.011583
FAM117B	0.011599
DNAI1	0.01162
G6PC3	0.011625
TNKS2	0.011714
HIVEP2	0.011723
ANKRD11	0.011751
FAM19A3	0.011807
SMC3	0.011896
GOLGB1	0.0119
ZNF273	0.011911
WFIKKN2	0.011921
CLDN14	0.011953
PLCB1	0.012
FTSJ3	0.012015
THOC5	0.012048
IFI16	0.012058
CCL4	0.012102
SHPK	0.012115
ZNF532	0.012124
P4HB	0.01215
CLHC1	0.012217
C1orf146	0.012224
SELENOF	0.012253
QARS	0.01226
FCER2	0.012292
RBBP8	0.012303
ZGPAT	0.012312
ITGB3	0.012333
ANO7	0.01238
GPR25	0.012381
PCDHGA12	0.012383
TTC23L	0.012401
MTMR2	0.012417
TMEM86B	0.012445
HSBP1L1	0.012452
HEATR5A	0.012464
ZFPL1	0.012489
NCAPG2	0.012535
CFAP77	0.012542
ALDOA	0.012591
OR3A3	0.012607
NKPD1	0.012607
JAGN1	0.012608
ELL	0.012621
PRIMPOL	0.012654
C1orf122	0.01269
GCC2	0.012716
IRGC	0.012751
ARFRP1	0.012758
NEUROD4	0.012764
CRYZL1	0.012814
NOSTRIN	0.012863
LRRC31	0.012875
C11orf65	0.012877
SECTM1	0.012878
SYT16	0.012885
SEMA3A	0.012898
OTOF	0.012939
ECSIT	0.012988
TMEM121	0.013001
CASC1	0.013004
VAMP3	0.013038
KPNA3	0.013107
ZNF439	0.01311
UHRF1	0.013134
INO80D	0.01315
CCDC130	0.013158
SRSF9	0.013171
HACE1	0.013225
IGFLR1	0.013269
MOV10	0.013321
TBX18	0.01335
PCDHGA10	0.013355
CMTM2	0.013374
ESYT2	0.01347
SLCO2A1	0.013477
VRK3	0.013496
RAB7A	0.013534
SIX6	0.013544
MCHR1	0.013605
MYCBPAP	0.013617
PGLYRP4	0.013626
CFAP206	0.013661
PPP1R16A	0.013667
PRR11	0.013701
SYNJ2	0.013723
MCL1	0.01373
BDH2	0.013743
RB1	0.013754
KCTD13	0.013762
TMEM243	0.013766
P2RY12	0.013776
STRADB	0.013782
EBF4	0.013785
PCDHGA7	0.013792
TRAF3IP2	0.013799
HINT1	0.013823
LPCAT2	0.013854
ZNF607	0.013898
ARPC2	0.013918
SLC22A5	0.013924
PPP4C	0.013947
SH2D4B	0.01407
PCDHGC5	0.014102
PRMT2	0.014139
PAX4	0.01416
PCDHGA11	0.014205
FAM162A	0.014207
HSPE1	0.014211
PDS5A	0.014211
CCDC58	0.014274
STAT3	0.014274
ATRX	0.014372
CYTIP	0.01438
CYB5B	0.014419
POP5	0.014442
PCDHGB7	0.014451
RND3	0.01452
RTKN2	0.014524
MICAL3	0.014526
FAM69A	0.014548
MT3	0.014551
NUPR1	0.014555
HDLBP	0.014598
HLX	0.014602
SLC9C2	0.014605
EXD2	0.014631
RPAP2	0.014635
TMEM101	0.014678
FAM185A	0.014699
CXCR6	0.014714
MXD1	0.014764
SF3B1	0.014776
OR5M10	0.014788
RAPGEF6	0.0148
LIME1	0.014816
ZC2HC1C	0.014819
DLX2	0.014921
CKLF-CMTM1	0.015001
CFAP65	0.015014
CDK9	0.015038
LRRC3C	0.015052
PDE10A	0.015073
TAS1R3	0.015077
VIPR1	0.015094
PSMB10	0.015096
HOXA11	0.015162
PCDHGC4	0.015209
