GENE	UC
TMBIM1	2.0703e-05
TRIP6	2.1166e-05
LRP3	2.1708e-05
GNB1	2.1928e-05
MANBA	2.2226e-05
SRRT	2.2547e-05
TPD52L2	2.2665e-05
RNF145	2.2672e-05
PKIG	2.279e-05
PDXDC1	2.2803e-05
UBE2J2	2.4361e-05
UFSP1	2.4379e-05
NAGLU	2.4597e-05
NPIPB6	2.4926e-05
TET2	2.5123e-05
SLC50A1	2.5762e-05
ZFP91	2.7089e-05
ITPKA	2.7286e-05
ACHE	2.7915e-05
MXRA8	3.0028e-05
MSL1	3.1606e-05
CASC3	3.2316e-05
FGFR1OP	3.2545e-05
TOP1	3.3684e-05
EFNA1	3.5229e-05
RAPGEFL1	3.55e-05
CPSF3L	3.6408e-05
ADO	3.685e-05
OIP5	3.9088e-05
ZC3H4	4.083e-05
ATAD3B	4.4273e-05
TNS4	4.4282e-05
GBA	4.596e-05
ADCY3	4.9119e-05
ZNF768	5.2125e-05
RGS19	5.2381e-05
CCL20	5.3401e-05
TSPAN14	5.5737e-05
EDN3	5.8258e-05
AUH	5.8343e-05
NF2	5.899e-05
PTK6	5.9234e-05
CTSS	5.9372e-05
DVL1	5.9625e-05
TBC1D1	5.9832e-05
LSP1	6.0352e-05
FAM132A	6.1303e-05
IL1RL1	6.1446e-05
IGFBP4	6.2812e-05
BRD7	6.5314e-05
NXPE4	6.5431e-05
CRTC3	6.7098e-05
NUSAP1	6.7153e-05
RAB24	6.7454e-05
NUCKS1	6.9695e-05
HORMAD1	6.9757e-05
TIMM23	7.3983e-05
SELP	7.4047e-05
ITPR3	7.4485e-05
CADM2	7.5156e-05
NCF1	7.6407e-05
CEND1	7.8165e-05
GOLPH3L	8.154e-05
ITLN1	8.2736e-05
TREX1	8.3002e-05
TAB2	8.6441e-05
BOLA2	8.674e-05
GLTPD1	8.785e-05
RTF1	8.7998e-05
TMEM160	8.8203e-05
NFKB1	8.9089e-05
DERL1	9.0163e-05
FAM53B	9.0937e-05
P4HA2	9.1028e-05
SLC41A1	9.1218e-05
NFKBIA	9.3445e-05
NTAN1	9.5206e-05
CCR5	9.676e-05
GLCCI1	9.9533e-05
TALDO1	0.00010038
TGFBR2	0.00010158
NCR3LG1	0.00010531
SOX18	0.00010559
ZNF831	0.00010571
TOP2A	0.0001063
SAMSN1	0.00010708
TAS1R3	0.00010718
PPIL4	0.0001083
MUC3A	0.0001124
SLC25A22	0.00011278
FAM189B	0.00011345
ST5	0.00011542
CFDP1	0.00011573
ATRIP	0.00011637
NKAPL	0.00011684
FKRP	0.00012098
CISD2	0.00012369
RPLP2	0.00012581
SCNN1B	0.00012741
WDR78	0.00013001
PDLIM4	0.00013181
NOS2	0.00013384
FAM26F	0.00013474
INO80	0.00013543
RNPEPL1	0.00013713
OSMR	0.0001386
CHAC1	0.00014049
KIF16B	0.00014304
THADA	0.00014331
PRDM1	0.00014468
CD244	0.00014611
DDX59	0.00015223
SLC9B1	0.00015246
ATP1B3	0.00015274
SDF2L1	0.00015792
TMEM180	0.00015968
RRN3	0.00016635
RWDD1	0.00016816
STX1A	0.00016824
SULT1A3	0.0001696
GFPT2	0.00017205
CORO1A	0.00017294
UBE2D3	0.0001739
TMEM170A	0.00017647
TFR2	0.00017691
STRN4	0.00017799
GLI1	0.00017822
PUSL1	0.00017984
SMG7	0.00018057
SOCS1	0.00018252
RARA	0.00018503
NDUFAF1	0.00018536
ATAD3A	0.00018814
SCAMP3	0.00019397
C1orf112	0.0001941
FAM198B	0.0001944
NR4A1	0.00019908
SLX1A	0.00019931
SLC25A28	0.00020171
CREM	0.00020362
ZSCAN9	0.00020473
TEAD3	0.00020507
BDKRB2	0.00020791
ZKSCAN4	0.0002107
NKD1	0.00021293
PER3	0.000218
TRPA1	0.00022181
YEATS4	0.00022309
KPNA5	0.00022416
IL18R1	0.00022428
RFXAP	0.00022749
GAB2	0.00022842
HOXA7	0.00022956
HSD17B1	0.00023032
ITGB8	0.00023355
CUL2	0.00023547
HIVEP1	0.00023552
ITGB1BP1	0.00023681
BACH2	0.00023742
ACAP3	0.00023833
HSD11B1	0.00023855
GATA3	0.00024011
GUCY1B3	0.00024493
PNPLA2	0.00024578
EFNA3	0.00025517
METTL18	0.00026273
CHP2	0.00026377
LTK	0.00026408
DPH5	0.00026703
SLC30A7	0.00026802
NELFCD	0.00026959
METTL10	0.00027174
USP36	0.00027632
F12	0.00028021
TCEA2	0.00028812
GGT7	0.00029004
C11orf71	0.0002917
CD151	0.00029289
HIST1H1B	0.0003058
PDCD1LG2	0.00030605
WIPF2	0.00030903
SESN1	0.00031328
NR3C1	0.00031361
DSE	0.00031437
HCN3	0.00031726
PPAP2B	0.00032133
CUL1	0.00032198
BATF	0.00033222
ACSS2	0.00033305
CUEDC2	0.00033565
SELE	0.00033616
MAX	0.00033865
CCDC153	0.00033969
HIST1H2AM	0.00033977
CCR2	0.00034894
ADCY7	0.0003526
MAPK3	0.00035452
CD2BP2	0.00035475
NOB1	0.0003576
ADA	0.00037037
CPSF3	0.00037224
ESPN	0.0003748
IPO8	0.0003755
RNASET2	0.00037761
FOSL2	0.00038076
NUCB2	0.00038357
ZKSCAN3	0.00039161
ITLN2	0.00039661
WNK4	0.00039723
SETDB1	0.00040087
SOSTDC1	0.00040791
CTSZ	0.00040844
IL18RAP	0.00041991
MOSPD3	0.00043137
CCDC51	0.00043358
DET1	0.00044537
KIAA1919	0.00044783
PLEKHH3	0.00045301
PDZD3	0.00045331
PRKRIR	0.00045366
RBM7	0.00045467
DNMT3A	0.00045695
MARS	0.00045764
NARS2	0.00045851
HOXA6	0.00046428
ARHGAP22	0.00046445
CBL	0.00046549
ZNF747	0.0004683
NDFIP1	0.00046851
FOXP1	0.00046972
VPS25	0.00047364
TUBB	0.0004797
SDF4	0.00048277
L3MBTL3	0.00048521
HHEX	0.00048674
FAM134C	0.00048724
C10orf95	0.00049206
TUBG2	0.00049323
CNTNAP1	0.00049436
HES2	0.00049855
DUSP8	0.00051138
EZH1	0.00051225
PIGR	0.00051272
CH25H	0.00051378
PHC2	0.00051576
GDPD3	0.0005181
NQO1	0.00053041
CENPO	0.00054098
NEFH	0.00054355
TRIM14	0.00055433
HOXA5	0.00055493
WNT2	0.00055991
WDR5B	0.00058107
FERMT1	0.00058352
ZSCAN12	0.00058354
KPNA1	0.0005868
PRELID1	0.0005875
TBC1D10B	0.00058865
RASSF3	0.00060306
NFATC1	0.00060388
ENSA	0.00060853
CYTH1	0.00060995
PARP9	0.00061357
HIST1H3I	0.00061769
ATL1	0.00062694
TUBG1	0.00063184
IGLL5	0.00063209
NADK	0.0006335
UBE2F	0.0006378
PGBD1	0.00064438
KPNA2	0.0006558
HIST1H4K	0.00066787
MAPK9	0.00066926
HMOX1	0.00067488
HIST1H4J	0.0006777
HIST1H2BN	0.00067892
IKBKE	0.00068368
GNB2	0.00068601
CDC6	0.00068969
FAM13A	0.00069449
FAM149A	0.00069619
GRASP	0.00070057
FDPS	0.00070907
DTX3L	0.00071214
EDN1	0.00071917
MYLPF	0.00071922
ITIH5	0.00072638
KSR1	0.00072905
DIEXF	0.00072984
PRKD3	0.00073818
LYZ	0.00075311
CLDN15	0.00075702
HIST1H2AL	0.0007665
CPEB3	0.00076907
ZNF48	0.00077121
CCDC58	0.00077777
EGR2	0.00078489
OAZ3	0.00078971
MRPL9	0.00079337
ARAP2	0.00079513
SSU72	0.00080918
ADAMTSL4	0.00081998
PFKFB2	0.00084772
C17orf58	0.00086619
PCOLCE	0.00087126
KIF3B	0.00087161
RUSC1	0.0008759
RIBC2	0.00088654
SLC22A5	0.0008867
FBXL7	0.00088777
ZBTB14	0.00089288
LSR	0.00089296
SAE1	0.00089505
CORO2A	0.00089644
NCCRP1	0.00089831
TAB1	0.0009135
C1orf116	0.00091541
HIST1H2AK	0.00092972
PSMC3IP	0.00093133
IAH1	0.00093594
RHBDF2	0.0009507
RAB5C	0.00095164
ACTR1A	0.00095258
KANK1	0.00095353
RAMP2	0.00095898
CYTH4	0.00096346
ATF7IP2	0.00096465
GPR132	0.00096682
FAM162A	0.00096734
RUSC1-AS1	0.00097048
SLC22A4	0.00098825
SLC39A11	0.00098928
LIPA	0.00099339
TRIOBP	0.00099343
ZNF771	0.0010015
UPF2	0.0010125
CBX1	0.0010303
MCAT	0.0010306
PTRHD1	0.0010359
SLC27A2	0.0010406
NLRX1	0.001049
LY9	0.0010534
NAA35	0.0010552
NDUFA4L2	0.0010601
NEUROD2	0.001066
GIGYF1	0.0010809
LZTFL1	0.0010824
GOLM1	0.001087
ZFP64	0.0010896
CERS2	0.0011045
CLECL1	0.0011084
ATIC	0.0011149
SLC16A10	0.0011314
FAM175B	0.0011536
CAPRIN2	0.0011804
B3GNT2	0.0011921
DOHH	0.0012135
NSD1	0.001221
SLC9B2	0.001246
MS4A12	0.0012518
CMIP	0.0012579
NCF2	0.0012597
ASXL1	0.0012678
PPP1R1B	0.0012679
FGFR4	0.0012759
YDJC	0.0012796
BAK1	0.0012802
YPEL3	0.0012857
TRMT10A	0.0012869
ATXN7	0.0012871
HAMP	0.0013139
COX15	0.0013145
TCTEX1D1	0.0013164
WWC1	0.0013164
ORAOV1	0.001319
CCND3	0.0013224
FILIP1	0.0013292
CNTD1	0.0013303
NFAT5	0.0013467
ASAP2	0.0013548
CAPZA1	0.0013674
DLL4	0.0013729
BRSK1	0.0013791
KAT2A	0.0013848
ITPKB	0.0014164
BDKRB1	0.0014181
FIS1	0.0014211
C1RL	0.0014333
DOCK8	0.0014355
COMMD7	0.0014367
SLC51A	0.001445
PIK3R1	0.001449
LRP5L	0.001449
SMCHD1	0.0014553
CSF2	0.0014572
RPL10A	0.0014588
RBMXL1	0.0014692
VHL	0.0014703
CDC37L1	0.0014785
SERINC3	0.0014818
ARRB2	0.0014846
KEAP1	0.0014938
ENTPD7	0.0015056
ZEB1	0.0015112
GSTA4	0.0015225
TMA7	0.0015263
CTNNB1	0.001537
PCYT1A	0.0015446
SHMT2	0.001547
RLN2	0.0015544
PISD	0.0015571
CXCL3	0.0015574
USF2	0.0015607
PLCG1	0.0015622
POFUT1	0.0015889
PAG1	0.0015906
PROCR	0.0015966
PPARD	0.0016072
VAMP3	0.0016193
POM121C	0.001631
SEPT1	0.0016405
DCTN4	0.0016477
PRRT3	0.0016529
PRKAG2	0.0016552
HPSE	0.0016582
CYB5B	0.0016598
PELP1	0.0016637
NDUFAF7	0.0016654
PLAGL2	0.0016668
ZNF576	0.0016896
EFNA4	0.0016978
SNX11	0.0017008
BRK1	0.0017081
PLXNB1	0.0017202
WWP2	0.0017267
NXPH4	0.0017376
PDE4A	0.0017416
ELAC1	0.0017472
DGAT1	0.0017481
ICK	0.0017498
ZNHIT1	0.0017547
DCTN2	0.0017586
IL1R1	0.0017605
PPP5D1	0.0017929
H1F0	0.0018066
FCER1G	0.0018068
MAP4K3	0.0018091
CDK18	0.001811
RSPH4A	0.0018194
GCAT	0.0018252
GBGT1	0.0018313
CDKN1A	0.0018321
EMC3	0.0018348
FANCE	0.0018363
IRGQ	0.0018387
NPAS1	0.0018473
AMICA1	0.001857
GTF2I	0.0018587
HSF1	0.0018659
POSTN	0.0018666
MOV10	0.0018672
BCL2L11	0.0018848
RPAP1	0.0018898
PLOD3	0.001892
KANSL2	0.0019029
SUFU	0.0019172
NFIL3	0.0019255
STAC3	0.0019264
POP7	0.001928
TNFRSF11A	0.0019334
PRDM4	0.0019413
DNAJC27	0.0019416
TIMP1	0.0019754
KLF2	0.0019786
ANKRD35	0.0019838
TM9SF4	0.0019839
RCL1	0.0019896
RUNX3	0.0020045
ITGA10	0.002015
DDX52	0.002035
HIST1H2BC	0.0020571
ST7L	0.0020612
ZNF431	0.0020618
CLEC2D	0.0020621
AP1G2	0.0020669
CD44	0.0020764
MPZL3	0.0020796
C2orf76	0.0021027
ELK3	0.0021214
SNX27	0.0021374
DUSP16	0.0021438
PPP2R3C	0.0021443
ABCB5	0.0021479
RAPGEF5	0.0021608
KDR	0.0021767
BCAR1	0.0021881
HIST1H1E	0.0021928
TSPAN4	0.0021939
SLC23A1	0.0022002
TOMM40L	0.0022284
MBD6	0.0022487
DHX58	0.0022659
CD48	0.0022849
ZUFSP	0.0022865
SCLY	0.002297
ELAVL4	0.0022985
ASH1L	0.0023043
HOXA3	0.0023098
TACC1	0.0023725
TMEM150B	0.0024009
SLAMF7	0.0024049
TMEM9B	0.0024175
SFMBT1	0.00242
LURAP1	0.0024256
ADAMTS4	0.00247
COPZ2	0.002476
RBP5	0.0024831
NRIP3	0.0024848
HUS1B	0.0025015
LIF	0.0025023
POMGNT1	0.0025106
NCOA1	0.0025111
PIP4K2C	0.0025166
CLSTN3	0.0025337
TANC1	0.0025494
LRRC41	0.002556
ATRX	0.002566
TAF8	0.0025664
CD69	0.0025758
AP3S2	0.002577
SLC35E2	0.0025836
AMPD3	0.002592
FAM207A	0.0026092
PITX1	0.0026334
CDC37	0.0026339
FDFT1	0.0026404
AGR2	0.0026471
CDCA4	0.0026564
CD22	0.0026651
HIST1H2AC	0.0026774
AOAH	0.002704
ZNF644	0.0027266
SCFD1	0.0027337
VGLL4	0.0027343
SUV420H2	0.0027373
TNFRSF8	0.0027569
FAM162B	0.0027803
UQCRH	0.0027905
PPAPDC2	0.0028028
EXTL2	0.0028056
RMI2	0.0028082
TRAF5	0.0028242
SPATA6L	0.0028469
MSTO1	0.0028708
KLHL25	0.0028795
ID4	0.0028895
THOC7	0.0028935
SRSF2	0.0029201
CABLES2	0.0029319
PIAS3	0.0029357
FANCD2	0.0029358
PDRG1	0.002964
NFIC	0.0029884
TLN2	0.0029929
KCNMB4	0.002996
PEX11B	0.0029972
NDUFS2	0.0030243
GCG	0.0030425
CARD11	0.0030426
CCR1	0.0030727
PIK3R5	0.0030876
IQGAP1	0.0030909
JARID2	0.0031208
TMEM30A	0.0031316
ITGA4	0.0031362
GK5	0.0031387
CRELD1	0.0031496
CP	0.0031657
CCDC50	0.0032199
ZNF714	0.0032246
THEM4	0.0032286
PAX8	0.0032395
CRY2	0.0032621
FOXD3	0.0032692
RALGDS	0.0032935
FBXO24	0.003298
HIST1H2BD	0.0033026
C10orf54	0.0033112
R3HDM2	0.0033124
IL2RA	0.0033126
CRYBA4	0.0033188
G2E3	0.0033235
TRANK1	0.0033506
CELF5	0.0033731
METTL23	0.0033865
LNX2	0.0033926
KLF9	0.0034044
MFSD11	0.0034085
TFDP2	0.0034331
PAK4	0.0034644
JMJD6	0.0034789
TTLL12	0.0034796
KIF11	0.0035086
DEFA5	0.0035096
SRPK1	0.0035298
KIFAP3	0.0035362
SLC1A5	0.0035491
CD6	0.0035551
FXYD3	0.0035615
TBX6	0.0035879
SMARCB1	0.0035887
FAM189A1	0.0035956
ZNF175	0.0036005
TIMP2	0.0036244
SCUBE2	0.0036292
CACNB4	0.0036502
CBLL1	0.0036532
NCOA6	0.0037003
RBBP8NL	0.0037062
POP5	0.0037267
PARP15	0.0037521
EXPH5	0.0037899
CCND1	0.0037958
TGOLN2	0.0038032
TNFRSF4	0.0038135
ZDHHC11	0.00382
FAM118A	0.0038212
ACBD3	0.0038398
GPA33	0.0038681
DNMT3B	0.0038769
FNTB	0.0038935
B3GALTL	0.0038986
AKIP1	0.003911
CDK15	0.0039152
COX6B2	0.0039178
UBE2S	0.0039201
CXCR6	0.0039249
GBP1	0.0039545
YOD1	0.0039797
ZHX3	0.0040046
FKBP5	0.0040068
BTAF1	0.004048
ICA1	0.0040489
EDEM2	0.0040513
RAPGEF3	0.0040674
AAGAB	0.0040805
FOXO1	0.00409
AHR	0.0040969
ZNF774	0.0041117
SPSB1	0.0041131
HNRNPAB	0.0041166
B3GALT6	0.0041288
DHTKD1	0.0041336
C4orf19	0.0041341
PSMA6	0.0041453
PTGDR2	0.0041592
DDX60	0.0041725
FAM177A1	0.0041815
CDH23	0.0042083
ZDHHC4	0.0042145
TRIP13	0.0042147
RRAD	0.0042273
SRP54	0.0042402
SPNS3	0.0042747
SYT15	0.0042814
MTRNR2L8	0.0042987
LARP4B	0.0043164
FAR1	0.0043237
DMXL1	0.0043282
TARS2	0.0043335
C6orf222	0.0043359
COA3	0.0043716
APH1A	0.0043907
ECM1	0.0043999
ZNF430	0.0044115
IRF8	0.0044265
LRRC46	0.0044663
ING2	0.0044723
POLR2L	0.0045435
C10orf68	0.0045544
MDM1	0.0045654
NSUN4	0.0045685
BICD2	0.0045989
CCNT1	0.0046156
MBD5	0.0046169
SKAP1	0.0046466
C1orf54	0.0046488
RAVER2	0.0046501
QPCT	0.004661
RCOR3	0.0046868
ZNF362	0.0047039
RPL27A	0.0047219
ZNF391	0.0047243
RGS10	0.0047384
CCNDBP1	0.00475
CUTC	0.0047691
ZNF165	0.0047701
TIGD2	0.0047909
G0S2	0.0048025
PRCD	0.0048557
BRD9	0.0048734
SMPD3	0.0048791
ABI1	0.0049064
TMEM69	0.0049301
OSBPL7	0.0049479
XPO6	0.0049483
CTIF	0.0049559
RBM8A	0.0049582
ZDHHC8	0.0049772
CHMP4C	0.0049958
MYO9B	0.0050005
TMEM158	0.0050007
TGFBR3	0.005027
PRR14L	0.0050435
TANGO6	0.0050723
CTSB	0.0050808
SP2	0.0050863
B4GALT3	0.0050966
CRYBB1	0.005125
MIXL1	0.0051511
TNFRSF18	0.0051528
IFNGR1	0.0051614
COL4A2	0.0051685
DTX3	0.0051907
MPZL2	0.0051948
SLC52A2	0.0051955
NOMO3	0.0051968
ACTA2	0.0052041
LHPP	0.0052223
ARHGEF25	0.0052276
DKK1	0.0052512
CRABP2	0.005299
FAM213A	0.0053037
PLAUR	0.0053181
RICTOR	0.0053199
PC	0.005331
ADAM15	0.00535
RPS13	0.0053709
ERAP1	0.0053717
IPP	0.0054015
ASTN2	0.0054237
TM6SF2	0.0054799
PTK2	0.0054896
RBM22	0.0055067
LPIN3	0.0055105
TMEM62	0.0055325
AATK	0.0055552
CD53	0.0055572
IL11	0.0055666
PLEKHG4B	0.0055818
MAPK8IP1	0.0055856
GUCY1A3	0.0055989
NR3C2	0.0056537
BPTF	0.0056604
ZNF428	0.0056627
PIK3R3	0.0056774
EPS8L2	0.0056838
UBXN1	0.0056883
ARMC2	0.0057027
PPP3CA	0.0057143
DXO	0.0057191
NOD2	0.0057453
SGCA	0.0057526
CD28	0.0057545
GPBP1L1	0.0057705
CDK11A	0.0058087
POLR2E	0.0058881
CRYBB2	0.0059195
FNDC4	0.0059441
XRCC1	0.0059751
MRPL10	0.0060136
DGKE	0.006017
SLFN5	0.0060557
PDP2	0.0060651
MUC19	0.0060672
WDR66	0.0060968
MS4A1	0.0061194
PEAR1	0.0061503
PSMD6	0.0061809
ZSCAN16	0.0061856
CCBL2	0.0061906
LRRC32	0.0061941
ZNF18	0.0062148
SNX20	0.0062237
POLR2F	0.0062395
PWP1	0.0062996
SLC12A5	0.0063241
IFT172	0.0063256
TPCN2	0.0063258
MRPS2	0.0063259
INSL5	0.006358
CCDC17	0.006363
KANSL3	0.0063772
FAM171B	0.0064361
C1orf233	0.0064394
RPRD2	0.0064636
OAF	0.0064761
DACH1	0.0064891
DAB2IP	0.0064949
TERF2	0.0065118
MMP11	0.0065365
DAGLA	0.0065605
ZKSCAN8	0.0065717
WASF1	0.0065854
CCNE1	0.006586
LRRN4CL	0.0065905
ZBTB40	0.006612
MRPL46	0.006615
HOXA4	0.0066354
ACTR5	0.0066392
EIF2B4	0.0066426
C11orf1	0.0066578
MARCH5	0.0066648
NUDT17	0.0066732
PRMT1	0.0066915
BTBD19	0.0067072
GPX4	0.0067123
PDCD4	0.0067167
MED11	0.0067308
SCRN2	0.0067333
BEST2	0.0067598
IL17RC	0.0067942
STAT4	0.0067973
CSTA	0.0068344
SUGP1	0.0068733
HIST1H4C	0.0069018
ACVR2A	0.006932
SNX17	0.0069606
MINK1	0.0069877
RBMS1	0.0069896
PSMC6	0.0070196
CHCHD10	0.007036
PTPRC	0.0070393
PRKG1	0.007089
TRIM66	0.0070926
DR1	0.0071291
CAPN13	0.0071805
FBXL4	0.0071866
UQCC2	0.0072187
HINFP	0.0072323
PTCH2	0.0072338
C11orf86	0.007236
SIK3	0.0072438
TMEM41A	0.0072458
THOC5	0.007251
YY1AP1	0.0072659
LITAF	0.0072697
NR1I3	0.0072812
CNOT7	0.0073031
CCDC86	0.0073077
BSCL2	0.0073146
ATP6V0C	0.0073231
ELMOD3	0.007329
PRPF3	0.0073348
ANPEP	0.0073399
PPM1G	0.0073432
MXRA7	0.0073525
MRPL4	0.0073688
TSPAN1	0.0073846
GATAD2A	0.007397
MS4A10	0.0074196
WNK1	0.0074257
SH2D3A	0.0074351
RBM4	0.0074389
FAM96B	0.0074603
KIAA1109	0.0074667
KRT20	0.0074822
MIB2	0.0074881
MAPK8	0.0074936
MANEA	0.0075057
RAB1B	0.0075277
ABHD15	0.0075565
HSPBP1	0.0075888
SCN2B	0.0076293
MARCKSL1	0.0076469
